#{"t_start": 1774852546.1762817, "env_id": "None"}
r,l,t
0.97,4,0.008381
2.08,6,0.009233
1.21,3,0.009797
3.11,7,0.010585
1.74,4,0.011564
2.03,4,0.012316
3.24,6,0.013286
1.59,5,0.014836
1.6,5,0.0161
0.69,3,0.017037
5.53,10,0.019313
0.69,3,0.020175
1.67,5,0.021687
2.11,6,0.02322
1.74,6,0.024876
1.19,5,0.026213
1.53,4,0.027471
0.98,4,0.0285
1.4,5,0.029863
1.32,4,0.030978
0.99,3,0.032122
0.67,3,0.043932
1.85,5,0.051589
2.51,6,0.060269
2.03,5,0.074183
1.6,5,0.081553
2.84,6,0.088597
1.49,3,0.095389
1.36,3,0.101827
1.69,5,0.109165
1.56,4,0.116971
0.53,3,0.123924
2.17,4,0.132252
0.85,4,0.140066
0.84,3,0.148127
2.31,6,0.15589
1.37,4,0.173141
1.79,4,0.180604
3.1,5,0.190149
1.07,3,0.19991
1.06,4,0.209051
1.93,6,0.22132
1.93,5,0.228828
1.55,3,0.234392
1.67,5,0.241951
1.92,4,0.249141
2.37,5,0.255949
1.19,4,0.264546
1.61,5,0.271929
1.98,6,0.287067
1.79,5,0.297431
1.27,5,0.304658
2.66,7,0.318249
3.91,6,0.332528
2.01,5,0.34078
2.63,6,0.351303
0.81,3,0.361307
3.13,7,0.373358
2.23,5,0.379596
1.06,4,0.387292
1.41,5,0.396486
1.05,4,0.403364
2.63,4,0.410187
2.61,5,0.421821
2.44,5,0.432073
2.67,4,0.440706
2.06,4,0.449356
2.44,3,0.457555
1.48,5,0.466592
1.46,3,0.472377
1.78,5,0.479711
1.11,3,0.486817
3.75,6,0.495232
1.75,3,0.502381
0.44,3,0.50862
2.83,5,0.516324
2.37,5,0.526082
0.83,4,0.533569
1.77,5,0.541335
1.86,4,0.550419
1.88,5,0.573045
3.03,5,0.582841
2.13,4,0.589906
2.31,5,0.598017
1.12,4,0.606633
1.96,4,0.61717
1.37,5,0.625341
0.69,4,0.63453
3.23,6,0.684553
1.56,6,0.708522
1.31,6,0.738172
1.46,4,0.747751
1.47,4,0.755572
1.46,6,0.763715
2.53,6,0.777384
1.84,6,0.785775
1.16,4,0.793795
0.98,3,0.801661
2.57,5,0.808603
2.49,5,0.822888
0.63,5,0.831149
3.41,6,0.838872
0.85,4,0.844583
1.66,3,0.85166
1.9,3,0.858584
2.57,5,0.866255
2.22,5,0.873616
2.32,5,0.886625
1.19,5,0.895464
2.39,5,0.902755
0.76,4,0.910762
1.16,3,0.917724
1.83,4,0.924394
3.19,4,0.932181
1.61,4,0.941242
0.96,6,0.949089
1.98,5,0.962491
2.85,5,0.971162
0.87,3,0.977539
1.33,4,0.983646
1.33,3,0.984676
1.34,3,0.991075
2.12,5,0.998666
1.98,5,1.012534
3.45,8,1.025531
2.58,6,1.033107
2.18,4,1.038453
2.49,5,1.044885
1.45,6,1.058521
1.46,4,1.065403
2.63,4,1.074355
1.9,3,1.081471
1.69,5,1.08976
2.84,6,1.098659
3.26,6,1.113951
1.08,4,1.120668
1.66,5,1.128058
2.06,4,1.134855
0.97,3,1.142267
1.07,3,1.149223
0.8,5,1.158647
1.62,5,1.166179
2.0,4,1.174105
2.02,6,1.185358
1.92,4,1.192649
2.15,4,1.199331
2.0,5,1.207688
1.9,4,1.213757
2.38,5,1.221058
2.78,4,1.226718
2.1,4,1.234143
1.53,4,1.241153
3.28,5,1.249329
2.41,4,1.257541
1.57,5,1.272488
1.71,6,1.280246
2.82,7,1.29567
0.89,4,1.30264
2.6,6,1.310036
2.14,4,1.318723
3.38,6,1.330759
2.34,4,1.337897
0.83,4,1.34424
3.57,7,1.356443
3.87,7,1.365022
2.76,6,1.379527
0.85,3,1.386182
3.12,6,1.393642
2.06,5,1.401618
2.47,6,1.414627
2.24,4,1.422165
1.93,5,1.429723
2.21,5,1.435578
1.66,4,1.44123
1.28,3,1.44741
0.89,3,1.452948
1.75,3,1.460399
0.86,3,1.461259
2.29,6,1.473932
1.76,4,1.479614
1.41,4,1.486421
2.05,4,1.491603
2.61,5,1.500127
1.43,5,1.506439
3.61,5,1.51837
1.53,4,1.523421
2.58,4,1.529973
0.77,4,1.53617
1.23,4,1.543176
1.58,5,1.549569
2.59,4,1.55641
1.96,4,1.562799
2.43,6,1.571376
2.17,4,1.577719
2.17,4,1.585361
2.34,4,1.593547
2.19,4,1.601082
1.47,3,1.607364
1.54,4,1.614095
2.52,5,1.622749
0.87,5,1.634029
1.5,3,1.635414
1.63,4,1.642482
4.15,9,1.658245
2.64,5,1.663984
2.12,4,1.669075
0.98,5,1.674653
1.24,4,1.679327
1.66,4,1.685712
1.8,4,1.69119
3.98,7,1.702546
2.4,5,1.709547
3.38,6,1.719836
1.06,5,1.725811
