#{"t_start": 1774866168.033629, "env_id": "None"}
r,l,t
1.66,4,0.063274
2.88,6,0.073939
1.39,3,0.077941
1.98,5,0.084932
0.63,3,0.088904
1.56,6,0.097478
0.87,3,0.101085
1.53,6,0.108084
0.69,4,0.113649
0.99,4,0.118336
1.32,4,0.123099
3.0,7,0.132408
1.26,3,0.13677
2.81,5,0.144571
4.46,7,0.153882
2.35,4,0.158842
1.96,5,0.166748
1.12,3,0.171759
0.55,4,0.177962
0.96,3,0.182133
2.55,6,0.191163
2.1,4,0.197435
2.36,5,0.204108
1.11,5,0.211771
1.92,4,0.218202
1.12,4,0.224427
2.63,5,0.232581
2.46,5,0.240685
1.67,4,0.246056
1.34,4,0.250133
3.04,5,0.256775
1.83,6,0.264117
1.09,4,0.268568
1.03,5,0.273361
1.34,4,0.277128
1.0,3,0.279898
1.51,4,0.283886
2.27,7,0.290849
3.23,5,0.297921
1.46,3,0.302014
1.16,4,0.307173
1.14,4,0.312829
0.34,3,0.316592
1.19,3,0.321371
2.16,5,0.328419
2.49,5,0.33611
1.67,5,0.343362
2.37,5,0.350272
3.57,6,0.360094
2.36,6,0.368938
1.58,4,0.374559
2.23,6,0.384147
2.85,7,0.395009
1.31,4,0.401134
1.55,5,0.407851
1.14,4,0.414179
0.67,3,0.418817
2.6,6,0.427271
1.23,4,0.43287
1.67,4,0.438447
0.82,4,0.443375
1.6,5,0.449799
2.18,4,0.453409
0.52,3,0.457431
3.35,7,0.466103
0.98,4,0.470484
2.19,5,0.476126
1.19,4,0.480972
1.73,5,0.487157
0.89,3,0.49038
1.42,4,0.494226
0.74,3,0.497501
3.15,6,0.504047
0.92,3,0.507447
1.8,5,0.514494
1.31,5,0.522156
1.5,5,0.529162
1.18,5,0.535215
1.2,4,0.539657
0.86,4,0.543322
1.53,7,0.552455
2.9,6,0.560307
1.29,5,0.565965
1.44,4,0.571105
2.79,5,0.57724
1.5,3,0.58046
1.51,5,0.586659
0.65,4,0.590802
1.26,5,0.596503
1.3,4,0.602507
1.31,3,0.607334
2.74,5,0.615014
2.37,6,0.62276
3.19,6,0.630734
2.97,6,0.637555
3.04,7,0.647097
2.17,6,0.654033
2.24,4,0.659631
1.5,4,0.663825
2.01,4,0.66888
2.99,5,0.67389
2.85,5,0.679481
1.02,3,0.682659
1.03,4,0.687793
2.4,5,0.692533
1.73,3,0.695467
2.39,6,0.702817
1.39,4,0.707973
2.25,6,0.715961
1.79,4,0.721423
1.25,4,0.726959
1.08,3,1.407
1.67,4,1.413276
1.42,4,1.418158
0.82,3,1.422052
1.73,4,1.426957
1.58,4,1.43198
2.1,5,1.437542
1.13,3,1.44033
2.79,7,1.449365
2.79,7,1.457467
2.92,6,1.465302
0.88,4,1.46945
1.75,5,1.474742
0.87,4,1.480474
2.02,6,1.489403
2.31,5,1.495755
1.16,3,1.499944
0.35,3,1.504162
2.33,6,1.512542
2.36,6,1.521239
1.57,6,1.530708
2.88,5,1.538583
2.64,6,1.54804
1.12,5,1.555595
1.22,3,1.560297
2.04,7,1.572836
1.6,5,1.581315
4.28,7,1.592939
2.55,6,1.602484
1.07,4,1.609059
0.42,5,1.616587
0.95,4,1.621032
1.91,4,1.627017
0.71,4,1.633689
2.65,6,1.642254
2.51,5,1.649551
1.72,6,1.658912
2.45,5,1.666345
4.16,6,1.678025
1.07,4,1.684481
0.97,3,1.688846
1.56,4,1.695426
0.47,3,1.699973
3.41,8,1.71214
3.0,5,1.718211
4.28,8,1.727209
0.19,3,1.731461
1.71,4,1.736807
2.15,4,1.742278
0.48,4,1.748379
2.45,6,1.756786
1.21,4,1.762018
1.37,4,1.768904
2.86,5,1.776206
1.85,5,1.782861
0.88,5,1.789669
2.36,5,1.796459
1.17,4,1.801917
0.83,3,1.806221
4.1,8,1.816385
1.56,3,1.819669
1.43,4,1.824704
1.6,4,1.829396
3.51,8,1.841001
1.83,4,1.846912
1.6,4,1.852596
1.43,3,1.856952
1.51,4,1.862331
1.84,4,1.867876
1.22,3,1.872472
1.73,3,1.877134
0.76,3,1.88186
0.85,4,1.887874
2.24,5,1.894989
1.13,4,1.899297
0.76,4,1.903132
2.03,4,1.907377
2.22,6,1.914011
2.05,5,1.919874
1.53,4,1.924684
2.17,5,1.930039
1.9,4,1.935528
2.66,4,1.941497
3.88,6,1.950033
1.5,3,1.954365
2.46,4,1.960333
1.22,3,1.963712
2.04,4,1.970539
1.84,4,1.977715
2.58,4,1.98404
3.21,5,1.993498
1.84,7,2.003657
0.64,4,2.009551
2.61,6,2.018549
1.59,4,2.024522
1.39,3,2.029149
1.43,4,2.035085
2.61,5,2.042037
2.42,6,2.049834
1.29,4,2.055564
2.08,5,2.062724
4.34,9,2.077768
0.71,3,2.082551
1.75,4,2.088674
2.57,4,2.094761
1.21,4,2.10016
1.39,4,2.10621
2.09,5,2.113021
1.82,5,2.120072
0.58,3,2.124106
1.31,4,2.129567
1.2,4,2.789274
4.36,7,2.797942
3.19,6,2.805196
1.05,4,2.809356
2.19,5,2.815176
3.84,7,2.822905
2.14,4,2.827103
2.33,6,2.833447
4.0,5,2.839736
2.72,6,2.848017
2.19,4,2.853801
0.75,3,2.85813
3.83,6,2.867018
2.01,4,2.873607
1.96,4,2.880418
2.46,4,2.886931
2.62,5,2.895228
3.36,6,2.905539
2.82,7,2.917515
3.99,6,2.926419
0.79,3,2.930705
1.47,5,2.937568
4.54,9,2.952312
3.24,7,2.961972
2.34,6,2.970499
3.65,6,2.980065
2.32,7,2.988832
4.94,8,2.998732
