#{"t_start": 1774943543.932717, "env_id": "None"}
r,l,t
1.63,4,0.00944
0.8,4,0.010315
1.95,4,0.011114
1.07,5,0.011798
2.07,5,0.012527
1.55,3,0.01307
1.31,4,0.013921
0.72,3,0.014587
1.42,4,0.015558
2.01,6,0.016697
1.92,4,0.017528
1.97,6,0.018858
1.26,4,0.019947
0.4,3,0.020712
1.26,4,0.021784
1.16,3,0.022385
2.21,5,0.023643
1.16,4,0.024456
1.35,4,0.025343
1.44,5,0.02646
1.68,4,0.027832
1.59,5,0.028907
0.9,4,0.029718
2.39,8,0.038093
2.36,4,0.044917
1.01,3,0.045901
1.41,4,0.051846
1.6,3,0.057944
2.15,4,0.065439
1.73,4,0.07347
1.29,3,0.080096
2.69,5,0.0857
2.06,5,0.091911
1.43,3,0.098134
1.52,5,0.108431
2.83,5,0.119483
1.83,4,0.126168
1.06,3,0.127184
2.37,5,0.139816
1.84,4,0.146322
2.12,5,0.15199
2.38,5,0.157742
1.07,3,0.165213
0.85,3,0.171037
1.92,4,0.177946
1.99,5,0.1846
1.82,4,0.191435
2.48,4,0.198598
1.12,3,0.205643
2.37,5,0.213235
2.02,4,0.220425
2.05,5,0.228368
3.87,7,0.242739
2.05,4,0.249725
3.28,6,0.258379
0.13,3,0.264596
1.25,4,0.271185
1.61,4,0.280037
2.72,5,0.287918
1.2,4,0.2946
2.28,5,0.307479
2.01,4,0.313994
2.7,6,0.321433
1.99,4,0.328665
2.38,5,0.336161
0.75,3,0.343407
1.71,3,0.350572
1.77,3,0.357555
0.81,3,0.358567
1.28,4,0.365276
2.11,4,0.372111
1.37,4,0.381696
1.65,6,0.394343
2.1,4,0.401628
0.76,3,0.407786
0.2,3,0.408643
1.91,4,0.416187
0.77,3,0.423255
1.76,6,0.437065
1.48,4,0.444181
1.53,6,0.451943
2.51,4,0.45803
1.95,4,0.464036
2.45,5,0.471456
1.36,5,0.483136
3.98,9,0.496639
1.85,4,0.503247
1.69,4,0.509652
1.05,4,0.516299
0.43,4,0.523931
1.85,4,0.530431
1.7,4,0.53699
0.97,4,0.543754
1.43,3,0.550129
1.57,4,0.556462
1.38,3,0.557336
2.25,5,0.570047
0.51,4,0.576684
