#{"t_start": 1774944101.829695, "env_id": "None"}
r,l,t
1.28,6,0.018367
2.36,6,0.024668
1.27,4,0.029671
1.73,4,0.033216
0.87,3,0.036655
1.4,5,0.042295
1.9,5,0.047278
2.43,5,0.052189
0.87,3,0.05528
1.92,3,0.058251
2.16,6,0.063836
2.37,7,0.071913
0.9,4,0.075786
2.03,4,0.079641
0.72,4,0.084133
1.73,4,0.087869
4.01,6,0.093894
0.4,3,0.096596
1.3,5,0.103151
2.55,5,0.110173
0.35,3,0.114604
2.92,7,0.125137
3.37,7,0.133442
0.74,3,0.136292
1.08,4,0.141051
0.67,4,0.145828
2.52,6,0.152782
1.01,4,0.15795
0.73,3,0.161002
2.12,5,0.165959
2.11,5,0.171601
1.04,4,0.175943
1.63,5,0.181849
1.01,5,0.18787
0.53,5,0.193096
1.15,4,0.198004
4.71,8,0.208148
2.73,4,0.212829
2.21,5,0.21742
4.39,8,0.225793
2.01,5,0.231426
1.91,3,0.234383
0.95,3,0.237048
2.38,5,0.242263
3.47,7,0.249216
3.39,6,0.25496
0.61,3,0.258166
1.51,4,0.262828
2.04,5,0.26823
2.32,6,0.275097
2.3,5,0.28064
0.23,3,0.284795
1.61,5,0.290243
1.84,4,0.293909
1.54,4,0.297654
1.69,4,0.302083
2.73,5,0.307039
2.2,4,0.310914
1.41,6,0.31629
1.42,5,0.321083
1.47,4,0.32513
2.28,5,0.330708
1.96,4,0.334487
0.58,3,0.337117
0.49,3,0.339901
0.14,3,0.34266
2.63,6,0.349001
0.86,4,0.352674
1.74,4,0.356446
3.56,7,0.363053
0.97,5,0.36765
1.71,5,0.372066
1.21,5,0.376876
1.28,4,0.385083
2.42,4,0.389959
1.44,4,0.395114
2.96,5,0.413057
2.37,6,0.442313
2.94,6,0.490517
1.77,4,0.497177
1.08,5,0.507008
1.3,4,0.513867
1.75,6,0.523391
1.43,3,0.528147
0.73,4,0.534692
2.01,4,0.540759
1.35,3,0.545888
2.05,5,0.554602
1.35,4,0.559887
0.47,3,0.56404
2.03,5,0.570853
0.87,3,0.57594
0.54,3,0.580031
1.83,4,0.58511
1.86,4,0.591035
2.9,5,0.598864
2.26,5,0.608224
1.54,4,0.614944
1.58,4,0.62136
1.32,4,0.62754
3.01,6,0.636204
1.63,5,0.642856
0.97,5,0.649872
2.15,6,0.65608
0.81,3,0.660187
2.16,5,0.666619
1.91,5,0.672564
1.26,4,0.676907
