#{"t_start": 1774858614.7871535, "env_id": "None"}
r,l,t
1.62,5,0.011012
1.29,5,0.012441
2.23,5,0.013745
1.53,5,0.014938
0.5,3,0.015938
3.32,9,0.018488
1.9,4,0.019535
2.58,7,0.021687
2.62,7,0.02358
3.45,6,0.024992
1.87,6,0.026448
2.39,5,0.027647
2.42,6,0.029462
1.51,4,0.030447
1.26,5,0.031659
1.69,5,0.03286
3.02,9,0.035233
1.76,4,0.036567
1.71,4,0.037738
1.62,4,0.047367
2.15,5,0.061802
2.06,6,0.070359
0.66,3,0.077591
1.41,4,0.085356
2.45,5,0.094731
1.98,4,0.103516
2.99,4,0.111407
1.68,4,0.120513
2.73,6,0.135205
2.67,5,0.145878
3.45,6,0.155191
3.59,6,0.169971
2.42,4,0.177877
1.17,4,0.185791
1.82,4,0.193392
3.43,6,0.204162
2.04,6,0.220962
7.3,11,0.246333
2.16,5,0.25452
3.8,6,0.263912
3.26,7,0.280873
3.24,7,0.297288
3.97,8,0.313794
4.1,7,0.328538
2.15,4,0.336196
1.2,3,0.337351
5.34,9,0.361165
3.42,8,0.375618
1.69,4,0.383949
2.31,4,0.391619
3.12,5,0.401549
4.82,10,0.419661
1.69,4,0.427254
5.42,9,0.450075
2.51,4,0.458445
3.49,7,0.468685
2.66,5,0.484395
1.94,4,0.493111
2.36,5,0.501177
3.79,7,0.519085
5.24,7,0.531518
1.66,4,0.540197
8.29,11,0.569385
3.8,6,0.584201
4.14,7,0.595737
5.08,8,0.61482
6.62,10,0.641438
1.9,4,0.649498
2.13,4,0.658019
6.01,9,0.677471
2.42,6,0.693706
6.27,10,0.713423
3.76,8,0.731132
6.94,10,0.759479
2.15,6,0.768718
5.91,8,0.786502
3.82,6,0.803023
6.57,9,0.82349
2.47,5,0.832777
1.65,4,0.841025
3.06,5,0.848738
6.34,10,0.876925
5.68,8,0.895961
2.84,6,0.905057
3.74,6,0.922034
2.44,6,0.932585
3.47,6,0.948232
3.8,6,0.959958
