#{"t_start": 1774866851.2893362, "env_id": "None"}
r,l,t
2.18,5,0.010696
1.91,5,0.011933
1.64,3,0.012736
0.44,3,0.013427
1.35,5,0.015051
0.87,3,0.015709
2.38,4,0.016696
0.49,3,0.017546
2.13,5,0.018866
0.64,3,0.019648
2.49,5,0.020768
1.68,4,0.021786
2.4,6,0.02349
1.05,4,0.02445
1.15,4,0.025418
0.62,3,0.026252
1.3,5,0.027568
2.83,7,0.029186
2.15,5,0.030467
1.02,4,0.031634
1.33,4,0.032792
1.53,4,0.033842
1.05,4,0.03497
1.02,4,0.037221
1.23,4,0.049688
0.86,3,0.061163
1.76,5,0.069376
0.99,4,0.077695
0.66,3,0.085155
1.43,5,0.093069
2.16,5,0.100984
1.31,4,0.108804
2.22,5,0.116525
1.88,5,0.132069
1.87,5,0.141994
2.41,5,0.15091
1.78,4,0.159555
1.23,5,0.169757
0.87,3,0.178271
0.56,4,0.185706
1.5,3,0.194188
1.04,3,0.201963
1.71,6,0.209812
2.72,5,0.218433
1.41,5,0.234067
0.63,3,0.23626
1.33,3,0.245249
1.48,4,0.254356
1.0,3,0.263077
0.24,3,0.271421
2.53,5,0.279448
1.8,5,0.289181
2.54,6,0.305048
1.86,5,0.314774
2.48,5,0.324413
0.64,3,0.332657
3.16,6,0.342985
2.2,5,0.358735
1.46,4,0.366969
1.94,5,0.377313
1.09,3,0.386798
1.8,5,0.394969
1.3,3,0.403411
0.58,3,0.405547
1.31,4,0.413522
0.77,3,0.422155
1.11,3,0.429619
2.06,3,0.438266
1.64,4,0.448261
1.59,4,0.456848
1.9,5,0.466872
1.37,3,0.476386
1.76,5,0.485139
1.95,4,0.492875
1.84,4,0.500272
1.73,4,0.508736
2.59,6,0.517224
1.1,4,0.525371
1.2,3,0.533206
1.93,4,0.542032
1.85,4,0.55066
1.37,4,0.560117
2.2,4,0.568252
1.21,4,0.57686
1.94,4,0.585007
0.75,3,0.592924
1.0,3,0.60131
0.8,4,0.609748
1.93,4,0.618508
2.63,5,0.627181
1.48,4,0.635218
2.17,5,0.645069
0.89,3,0.652189
0.77,3,0.660524
1.0,3,0.663633
1.33,4,0.670754
1.28,4,0.679624
0.64,3,0.687685
1.0,3,0.697008
0.72,3,0.705746
0.63,3,0.708596
1.1,3,0.716049
1.12,3,0.724237
1.15,3,0.732352
0.93,3,0.734688
0.72,4,0.743666
2.08,4,0.751057
1.75,4,0.759814
1.41,3,0.768412
1.03,4,0.776868
0.61,3,0.78516
0.63,3,0.793248
2.85,5,0.803095
1.96,4,0.811844
1.15,3,0.819241
1.0,3,0.822724
1.34,4,0.831327
1.0,3,0.840984
1.15,3,0.850045
0.75,3,0.857738
1.45,3,0.859113
1.04,3,0.867568
1.07,4,0.876211
1.04,3,0.884332
0.99,3,0.892884
1.0,3,0.896063
1.0,3,0.905273
1.0,3,0.914879
1.01,3,0.923439
1.26,4,0.931477
0.15,2,0.932363
3.03,6,0.947961
0.78,3,0.950214
0.92,3,0.95871
1.0,3,0.967029
1.86,4,0.97567
1.7,4,0.985281
0.71,3,0.993764
1.45,3,0.99914
1.0,3,1.011968
1.34,4,1.021987
1.18,3,1.030786
1.0,3,1.039645
1.73,5,1.050589
1.52,4,1.059315
1.0,3,1.068384
1.0,3,1.071243
1.53,4,1.080347
1.68,4,1.089576
1.0,3,1.098616
1.0,3,1.108124
1.41,4,1.116888
0.83,3,1.125536
1.72,4,1.133956
1.11,3,1.135853
1.03,3,1.146646
2.04,5,1.155815
2.14,4,1.164145
1.32,3,1.172925
1.32,4,1.182283
1.0,3,1.191961
1.0,3,1.200313
1.0,3,1.203873
1.91,4,1.212837
0.34,4,1.221086
1.0,3,1.23119
1.0,3,1.240559
1.14,3,1.250482
0.85,3,1.253419
2.54,5,1.269535
1.0,3,1.272726
1.74,4,1.282502
1.61,4,1.291207
1.0,3,1.299951
1.24,3,1.308643
1.96,4,1.318425
1.0,3,1.328368
0.61,3,1.331209
1.0,3,1.339534
1.0,3,1.348873
1.0,3,1.36233
0.86,3,1.367916
0.84,3,1.376504
1.0,3,1.385144
1.0,3,1.394477
1.0,3,1.397557
1.02,4,1.407382
1.0,3,1.416018
1.35,3,1.424644
1.05,3,1.433149
1.0,3,1.435847
0.68,4,1.444482
1.0,3,1.453362
1.0,3,1.461778
1.15,4,1.469765
1.0,3,1.479416
0.21,3,1.480865
1.28,3,1.489626
1.0,3,1.498116
1.44,4,1.507483
1.94,4,1.51779
1.0,3,1.527993
2.06,4,1.537026
1.0,3,1.540204
0.51,3,1.549906
1.0,3,1.559796
1.0,3,1.56841
1.0,3,1.572281
1.64,4,1.5827
1.28,3,1.591596
1.45,4,1.599209
1.66,4,1.609572
1.0,3,1.619327
1.33,3,1.627586
1.0,3,1.631036
1.98,5,1.645646
1.22,3,1.649987
1.0,3,1.659261
1.0,3,1.668097
1.0,3,1.677376
1.0,3,1.680745
1.0,3,1.689734
1.0,3,1.698829
1.0,3,1.70841
1.7,4,1.718606
0.51,3,1.721216
1.0,3,1.730656
1.0,3,1.741056
1.0,3,1.750831
0.73,3,1.753839
1.59,4,1.762906
0.63,3,1.771793
1.0,3,1.782264
1.0,3,1.79214
1.0,3,1.795693
1.0,3,1.805364
1.0,3,1.815626
1.03,3,1.824251
1.36,4,1.834575
1.06,3,1.837422
1.0,3,1.847366
1.0,3,1.856006
1.0,3,1.865449
1.0,3,1.86885
1.0,3,1.879078
1.0,3,1.888394
1.0,3,1.898127
1.0,3,1.900958
