#{"t_start": 1774937037.0666082, "env_id": "None"}
r,l,t
1.63,4,0.012773
0.8,4,0.013854
1.95,4,0.014698
1.07,5,0.015867
2.07,5,0.01742
1.55,3,0.01822
1.31,4,0.019364
0.72,3,0.0201
1.42,4,0.021077
2.01,6,0.022343
1.92,4,0.023216
1.97,6,0.024459
1.26,4,0.025807
0.4,3,0.026499
1.26,4,0.027367
1.16,3,0.028053
2.21,5,0.029637
1.16,4,0.030542
1.35,4,0.031415
1.44,5,0.032518
1.68,4,0.033723
1.59,5,0.034905
0.9,4,0.035804
2.47,8,0.04668
2.69,6,0.055499
1.01,3,0.062401
1.41,4,0.070472
1.6,3,0.077723
2.15,4,0.086076
1.73,4,0.09415
1.29,3,0.09526
2.69,5,0.108372
2.06,5,0.117565
1.13,4,0.125909
1.23,4,0.133449
1.65,4,0.141501
1.85,5,0.150393
1.86,6,0.167296
1.06,3,0.169789
2.15,4,0.179262
1.34,4,0.189512
1.69,4,0.19789
3.68,7,0.213
1.57,3,0.220202
1.07,5,0.23033
1.72,5,0.239277
2.01,5,0.253726
1.45,5,0.262848
1.9,3,0.271448
1.57,4,0.279698
2.67,6,0.289801
2.58,5,0.298182
0.87,2,0.305625
1.57,6,0.31479
2.93,6,0.329665
1.77,5,0.34145
2.63,6,0.357045
0.62,3,0.358193
2.02,6,0.374048
1.07,3,0.380861
3.04,6,0.390489
1.37,4,0.398833
1.55,3,0.406094
1.29,3,0.413881
2.91,5,0.422041
1.9,6,0.431385
1.64,5,0.446282
2.1,6,0.455008
0.18,3,0.462188
1.57,4,0.468816
0.87,3,0.476333
1.58,5,0.485392
2.74,5,0.492997
1.59,5,0.501193
2.09,8,0.516912
2.17,6,0.534035
0.81,3,0.542538
0.71,4,0.550711
2.13,5,0.559883
0.77,3,0.567648
2.2,8,0.585965
1.48,4,0.594246
0.85,6,0.603027
2.36,4,0.611215
2.62,6,0.625907
1.49,3,0.626867
1.41,5,0.642188
4.05,9,0.659072
1.53,5,0.668033
2.07,4,0.675723
1.74,5,0.685251
0.76,3,0.69241
2.26,5,0.702698
1.92,5,0.718563
0.97,4,0.725785
1.65,4,0.733519
1.57,4,0.741758
1.6,4,0.749111
2.25,5,0.756458
0.95,6,0.76552
1.75,4,0.772954
1.98,4,0.781274
1.19,3,0.788148
0.86,4,0.794102
2.41,5,0.79998
2.03,4,0.805276
1.13,5,0.815772
1.84,5,0.82345
2.83,7,0.841368
1.89,5,0.850556
1.09,4,0.859251
1.29,3,0.866854
4.39,7,0.876493
3.07,6,0.891182
2.1,6,0.900174
1.8,4,0.907099
2.14,5,0.92129
2.1,5,0.930013
1.06,4,0.938068
1.57,4,0.946487
2.2,5,0.95554
2.5,7,0.972004
3.39,9,0.989533
0.73,4,0.997299
0.53,3,1.005306
1.35,4,1.014818
1.95,5,1.022372
1.68,5,1.030058
0.82,6,1.046469
2.22,6,1.05645
1.62,5,1.070926
1.22,4,1.07952
1.49,6,1.091922
1.95,4,1.100059
1.8,6,1.116082
2.25,7,1.126881
1.44,3,1.134042
1.9,7,1.148264
1.01,5,1.156128
2.66,7,1.171268
3.04,8,1.189735
0.96,6,1.199297
1.47,5,1.215168
1.54,4,1.222754
2.4,5,1.232043
0.96,5,1.240288
2.73,8,1.257534
2.48,5,1.26452
1.66,3,1.271936
1.71,6,1.288818
1.45,4,1.296251
1.25,4,1.304013
1.74,6,1.315195
2.63,5,1.324061
2.06,4,1.331481
1.68,7,1.349458
2.01,5,1.357323
0.95,3,1.364099
2.84,6,1.377971
2.78,8,1.39545
1.45,5,1.405096
1.44,5,1.414468
1.17,4,1.422732
2.04,4,1.43093
1.62,5,1.44013
2.58,6,1.456056
1.64,6,1.466332
1.08,4,1.473881
0.78,5,1.491018
1.73,8,1.507365
2.11,7,1.520947
1.43,5,1.53719
1.36,3,1.538639
1.25,4,1.547818
2.84,8,1.566004
1.23,4,1.574001
1.86,5,1.589737
1.22,5,1.599546
2.55,7,1.616044
1.46,4,1.624092
2.06,4,1.632856
2.42,6,1.641874
1.2,4,1.649986
1.84,5,1.658754
1.69,5,1.67481
2.05,7,1.684912
1.27,4,1.69257
1.82,6,1.710109
1.94,4,1.719194
2.67,7,1.736343
3.8,9,1.753763
2.02,4,1.761458
1.61,4,1.769467
2.94,7,1.787393
1.2,3,1.788558
1.32,5,1.803363
1.85,6,1.812779
1.43,8,1.829646
