#{"t_start": 1774859636.644434, "env_id": "None"}
r,l,t
1.24,4,0.011329
2.6,7,0.013774
1.46,3,0.014891
1.21,3,0.015887
2.46,5,0.017327
1.76,4,0.019331
2.11,4,0.020579
2.45,4,0.021653
1.4,4,0.022691
2.24,5,0.023819
1.1,3,0.024593
2.17,4,0.025695
1.12,3,0.0266
0.85,3,0.027188
0.42,3,0.027787
2.38,7,0.029073
2.29,6,0.030265
4.25,8,0.031262
3.2,9,0.032318
1.03,3,0.032754
1.6,5,0.033525
2.36,5,0.03455
2.85,5,0.041544
1.61,5,0.047984
1.48,3,0.053973
1.6,4,0.060046
1.7,3,0.066878
1.33,4,0.073285
1.2,4,0.080262
1.24,4,0.085625
0.86,3,0.091165
1.36,4,0.098653
1.29,4,0.105204
2.13,5,0.112415
1.08,4,0.117936
1.77,6,0.12713
1.98,4,0.133673
1.66,4,0.140641
2.2,7,0.155397
1.76,6,0.169165
1.31,5,0.177572
3.08,8,0.192972
2.53,6,0.20243
1.2,6,0.216696
1.87,4,0.224059
2.13,6,0.231882
1.73,5,0.242424
0.71,3,0.243125
0.9,5,0.25282
1.33,5,0.259362
1.97,4,0.264915
2.26,7,0.276469
4.25,9,0.289704
1.63,6,0.2955
2.02,6,0.30822
3.45,8,0.322315
1.8,6,0.329874
1.87,7,0.343127
2.54,6,0.35386
1.72,5,0.362034
1.82,6,0.368695
1.67,5,0.378743
3.63,11,0.392015
0.89,5,0.401286
2.69,7,0.407725
1.89,8,0.421227
3.18,8,0.437576
1.89,8,0.45353
2.72,5,0.467277
0.93,4,0.473242
2.72,9,0.488826
1.16,4,0.494452
3.08,9,0.507426
3.66,8,0.520178
1.14,4,0.52741
3.01,8,0.541022
1.39,7,0.557917
3.33,10,0.570339
1.65,7,0.583345
2.95,8,0.59501
2.6,7,0.608299
2.83,8,0.620863
1.58,6,0.629203
1.0,5,0.641404
2.4,8,0.65805
2.0,9,0.672325
1.59,6,0.68035
1.99,5,0.692838
2.49,5,0.70013
1.93,8,0.713829
1.72,5,0.723453
2.42,4,0.728443
3.06,9,0.74359
3.18,9,0.763996
1.3,6,0.77253
2.06,7,0.78368
1.18,6,0.79203
2.22,7,0.805111
1.74,6,0.816484
1.56,5,0.822367
2.25,9,0.836694
1.07,6,0.850414
2.52,8,0.866533
2.19,7,0.877131
1.32,6,0.890848
2.13,8,0.903601
1.96,6,0.912648
1.15,6,0.926023
3.42,8,0.936543
1.64,6,0.94361
2.03,7,0.955812
3.06,9,0.971384
1.94,6,0.986847
1.55,8,1.000139
3.69,9,1.014877
1.21,6,1.029789
2.39,6,1.039182
1.0,5,1.047727
1.28,6,1.064393
1.3,7,1.080239
2.77,8,1.094979
1.76,7,1.10413
1.22,6,1.118946
2.2,7,1.133077
1.0,5,1.1411
1.86,7,1.154396
1.07,6,1.162436
1.0,5,1.169784
1.23,6,1.184426
1.18,7,1.198561
1.51,6,1.209361
2.24,7,1.22608
1.99,6,1.23602
2.49,7,1.248434
2.47,9,1.262961
1.25,6,1.281182
1.37,7,1.295908
1.59,7,1.304719
1.85,7,1.321495
2.29,7,1.339538
1.0,6,1.351934
1.48,7,1.368752
2.25,7,1.385788
1.53,6,1.394947
1.0,5,1.407174
1.0,5,1.414771
1.64,6,1.425628
1.0,5,1.441708
1.0,5,1.451868
1.0,5,1.461953
1.0,5,1.471985
1.76,7,1.488707
1.62,7,1.502462
2.68,7,1.515652
1.0,5,1.525115
1.0,5,1.536621
1.31,6,1.555393
1.99,7,1.567219
1.56,6,1.58476
1.0,5,1.59575
1.0,5,1.605321
1.44,6,1.617343
0.38,3,1.623743
0.87,3,1.625662
0.38,3,1.633387
0.38,3,1.640011
0.38,3,1.647487
0.38,3,1.649376
0.83,3,1.655939
0.38,3,1.662311
0.38,3,1.66842
0.38,3,1.671086
0.99,3,1.677999
0.38,3,1.685973
0.38,3,1.694043
0.38,3,1.696404
0.38,3,1.704639
0.38,3,1.711419
0.38,3,1.719998
0.67,4,1.7284
0.38,3,1.731419
0.38,3,1.73902
1.26,6,1.7589
1.0,5,1.772343
1.0,5,1.783601
1.0,5,1.791206
1.98,6,1.804398
1.13,6,1.812153
2.19,7,1.82531
1.0,5,1.834877
1.0,5,1.849534
1.0,5,1.859603
1.0,5,1.87138
1.0,5,1.882535
1.0,5,1.898258
1.0,5,1.908612
1.0,5,1.919817
1.0,5,1.933059
1.0,5,1.951198
1.0,5,1.961652
1.0,5,1.972163
1.0,5,1.980251
1.0,5,1.993848
1.0,5,2.0035
1.0,5,2.013799
1.0,5,2.02396
1.0,5,2.040606
1.58,6,2.052261
1.0,5,2.063273
1.0,5,2.078719
1.0,5,2.089849
1.51,6,2.101205
1.0,5,2.117115
1.0,5,2.127208
1.0,5,2.139204
1.0,5,2.14912
1.44,5,2.165261
1.44,5,2.175586
1.44,5,2.186722
1.44,5,2.196463
1.74,6,2.212568
1.76,5,2.219908
1.44,5,2.228633
1.44,5,2.241968
1.44,5,2.251793
1.44,5,2.259306
1.44,5,2.267092
1.44,5,2.280753
1.44,5,2.289743
1.64,6,2.299779
1.56,6,2.315805
2.78,7,2.329352
2.07,6,2.337764
1.44,5,2.344717
1.7,6,2.35766
1.44,5,2.365387
1.44,5,2.372469
2.41,6,2.384661
1.44,5,2.391737
1.44,5,2.400299
1.44,5,2.411735
1.44,5,2.419234
1.44,5,2.42757
1.44,5,2.434911
2.06,6,2.448635
1.44,5,2.455991
1.44,5,2.463054
1.44,5,2.474419
1.44,5,2.482646
1.97,6,2.491589
1.44,5,2.507035
1.44,5,2.514954
1.44,5,2.521847
1.44,5,2.528407
1.44,5,2.542303
1.44,5,2.552076
1.44,5,2.562484
1.44,5,2.569815
1.44,5,2.58421
1.44,5,2.59318
1.44,5,2.602879
1.44,5,2.61189
1.44,5,2.626389
1.44,5,2.635832
1.44,5,2.646592
1.44,5,2.656363
1.44,5,2.670522
1.44,5,2.680168
1.44,5,2.691304
1.44,5,2.701155
1.44,5,2.713707
1.44,5,2.722206
1.44,5,2.731333
2.38,6,2.744775
1.89,6,2.754712
1.44,5,2.762534
2.08,6,2.776294
1.44,5,2.800701
1.44,5,2.853623
1.44,5,2.867429
1.44,5,2.878071
1.44,5,2.88837
1.51,6,2.904361
2.0,6,2.914926
1.44,5,2.926229
1.44,5,2.941389
1.44,5,2.951624
1.44,5,2.961839
1.44,5,2.971541
2.1,6,2.985724
1.44,5,2.995256
1.44,5,3.003286
1.44,5,3.016798
2.41,6,3.025141
2.38,6,3.037224
1.44,5,3.048845
1.44,5,3.059548
1.89,6,3.075812
1.44,5,3.085765
1.44,5,3.096478
1.61,6,3.114232
1.44,5,3.125273
1.44,5,3.135744
1.44,5,3.144013
1.44,5,3.173256
1.44,5,3.182818
1.44,5,3.190493
1.44,5,3.201385
1.44,5,3.215336
1.44,5,3.223058
1.44,5,3.230638
3.35,7,3.242212
1.44,5,3.251922
2.03,6,3.266324
1.44,5,3.275684
1.44,5,3.284912
1.44,5,3.294057
1.44,5,3.308054
1.44,5,3.319271
1.44,5,3.329797
1.44,5,3.340398
1.44,5,3.357697
1.66,6,3.37225
1.44,5,3.384409
1.44,5,3.401359
1.44,5,3.41241
1.44,5,3.424
1.44,5,3.43469
1.68,3,3.444135
1.68,3,3.453173
1.68,3,3.462983
1.68,3,3.465257
1.68,3,3.474334
1.68,3,3.481876
1.68,3,3.489839
1.68,3,3.492682
1.68,3,3.501143
1.68,3,3.50794
1.68,3,3.513973
1.89,4,3.521719
1.68,3,3.524324
1.68,3,3.53156
2.35,4,3.539428
1.68,3,3.547078
1.68,3,3.558465
1.68,3,3.56201
1.68,3,3.569932
1.68,3,3.57601
1.68,3,3.582517
1.68,3,3.584738
1.68,3,3.593872
1.68,3,3.601247
1.68,3,3.609212
1.68,3,3.610998
1.68,3,3.617515
1.68,3,3.624264
1.68,3,3.630636
1.35,3,3.632451
1.68,3,3.638752
1.68,3,3.64556
1.68,3,3.653722
1.68,3,3.657033
1.68,3,3.666277
1.68,3,3.675036
2.64,4,3.684281
1.68,3,3.693713
1.37,3,3.696664
1.68,3,3.705493
1.68,3,3.713156
1.68,3,3.721473
1.68,3,3.724838
1.68,3,3.733264
1.35,3,3.741891
2.4,4,3.752777
1.68,3,3.762963
1.68,3,3.766385
1.68,3,3.77649
1.68,3,3.786565
1.68,3,3.79583
1.68,3,3.799319
1.68,3,3.808095
1.68,3,3.817042
1.68,3,3.825697
1.68,3,3.829212
1.68,3,3.84068
1.68,3,3.851593
1.68,3,3.861341
1.68,3,3.864659
1.52,3,3.873735
2.48,4,3.883571
1.68,3,3.894667
1.68,3,3.904713
1.68,3,3.908479
1.83,4,3.919231
1.68,3,3.929393
1.68,3,3.955678
1.68,3,3.965372
1.68,3,3.969091
1.68,3,3.978376
1.8,4,3.988245
1.68,3,3.998452
1.68,3,4.009582
1.68,3,4.013413
1.68,3,4.023369
1.68,3,4.033862
1.68,3,4.043767
1.68,3,4.047769
0.95,3,4.058644
1.68,3,4.069115
1.68,3,4.079284
1.68,3,4.083002
2.34,4,4.094504
1.68,3,4.10528
1.68,3,4.114978
1.68,3,4.125224
1.68,3,4.128477
1.68,3,4.136801
