#{"t_start": 1774853991.7375252, "env_id": "None"}
r,l,t
0.99,4,0.009845
1.6,5,0.01124
1.75,5,0.012426
2.13,7,0.01403
2.05,6,0.01579
1.88,3,0.016911
1.44,3,0.017829
2.72,5,0.018947
4.35,8,0.020993
0.84,4,0.022226
1.47,5,0.023451
0.92,3,0.024301
2.81,5,0.02592
3.47,6,0.027396
1.43,5,0.028566
4.34,7,0.030572
1.72,4,0.031841
1.93,6,0.033496
2.46,6,0.03514
3.17,7,0.036885
1.63,5,0.053794
0.9,5,0.062547
2.15,6,0.070659
1.65,4,0.078354
0.15,4,0.085561
1.55,5,0.100695
1.91,5,0.108896
3.05,7,0.125504
1.39,4,0.133671
1.38,3,0.134785
2.32,6,0.150399
0.1,3,0.159485
0.88,4,0.16763
1.34,5,0.174786
1.63,4,0.182
3.38,8,0.196707
1.11,3,0.20346
1.38,5,0.209157
0.77,4,0.215605
1.4,4,0.222296
1.05,4,0.23027
1.61,5,0.239568
2.63,6,0.253492
3.69,7,0.262413
1.95,5,0.280223
0.99,4,0.288331
0.98,3,0.289562
2.4,6,0.304362
2.63,4,0.312508
1.21,4,0.319966
1.55,4,0.327345
1.2,4,0.334608
1.71,5,0.341744
1.37,3,0.347823
2.66,6,0.353617
1.77,5,0.36532
2.35,5,0.37187
1.73,5,0.380702
2.58,6,0.392947
1.65,4,0.400756
1.25,5,0.407593
1.6,4,0.414806
1.38,3,0.421498
2.05,6,0.43014
1.63,5,0.436758
2.1,5,0.448377
4.16,9,0.466882
1.56,4,0.47438
0.91,4,0.483237
0.97,3,0.490654
1.06,4,0.498532
1.87,4,0.506489
0.3,5,0.514939
2.57,5,0.5235
1.29,3,0.530308
2.16,5,0.537232
1.97,5,0.546861
2.86,5,0.561235
0.93,3,0.562644
1.85,5,0.577737
2.25,5,0.586951
1.42,4,0.595402
2.0,4,0.603551
2.52,6,0.611761
2.06,4,0.621489
1.42,4,0.631422
3.71,8,0.647896
2.57,6,0.664719
1.61,6,0.67499
0.63,3,0.682804
2.88,5,0.691947
3.2,7,0.706667
2.62,5,0.715835
1.3,3,0.723058
1.52,5,0.731847
1.76,4,0.739271
0.06,3,0.747425
1.96,6,0.763879
1.31,4,0.772911
1.15,5,0.782176
1.85,4,0.790511
2.27,6,0.798829
2.36,5,0.813022
0.65,3,0.814092
2.65,7,0.830632
0.72,4,0.838642
1.09,3,0.846455
1.93,5,0.855956
1.02,3,0.864354
1.42,4,0.872547
0.56,3,0.88122
1.85,4,0.888828
1.31,3,0.891362
2.26,4,0.898696
2.18,5,0.913662
0.78,3,0.91473
3.16,8,0.931446
1.49,4,0.939136
1.64,4,0.946834
2.58,7,0.964549
1.02,4,0.972571
2.31,5,0.981301
1.75,4,0.988605
1.81,4,0.997076
3.93,7,1.013426
2.96,6,1.028885
2.15,4,1.036266
2.25,4,1.043973
1.25,4,1.053455
1.45,3,1.054679
1.54,4,1.063889
1.71,5,1.078506
1.63,6,1.088209
1.82,5,1.096575
2.11,5,1.111248
1.8,5,1.119494
1.6,4,1.128559
1.18,3,1.136303
1.23,6,1.144819
1.63,4,1.153884
1.77,5,1.165802
2.81,6,1.180955
0.96,4,1.188665
2.12,7,1.204423
1.29,4,1.211941
2.49,7,1.219853
2.0,5,1.233446
0.71,3,1.23444
1.73,5,1.249089
0.55,4,1.256351
2.53,5,1.266591
1.27,4,1.275674
0.94,4,1.28554
2.37,6,1.294759
1.7,5,1.31126
1.19,4,1.319162
3.7,8,1.334141
1.66,4,1.343623
1.05,3,1.344625
2.48,5,1.359205
1.49,5,1.371145
2.03,5,1.380387
1.53,5,1.389952
2.52,5,1.404585
1.19,5,1.414102
2.92,7,1.431625
1.45,4,1.440559
1.09,3,1.44183
2.77,7,1.457619
1.25,4,1.466692
3.25,7,1.488579
3.36,6,1.498759
0.68,3,1.507495
2.96,6,1.522914
2.2,6,1.531556
2.22,5,1.539872
1.47,7,1.556443
0.85,3,1.563848
1.54,5,1.57351
