#{"t_start": 1774866275.2809174, "env_id": "None"}
r,l,t
2.18,5,0.007355
1.91,5,0.00806
1.64,3,0.00879
0.44,3,0.009281
1.35,5,0.010445
0.87,3,0.010902
2.38,4,0.011413
0.49,3,0.012074
2.13,5,0.013312
0.64,3,0.01385
2.49,5,0.014769
1.68,4,0.015473
2.4,6,0.016312
1.05,4,0.016951
1.15,4,0.017442
0.62,3,0.01783
1.3,5,0.01862
2.83,7,0.019428
2.15,5,0.020002
1.02,4,0.020481
1.33,4,0.021063
1.53,4,0.021544
1.05,4,0.022388
1.02,4,0.025331
1.23,4,0.030838
0.86,3,0.036209
1.76,5,0.042209
0.99,4,0.048756
0.66,3,0.055211
1.43,5,0.061924
2.16,5,0.067057
1.31,4,0.072801
2.22,5,0.078141
1.35,4,0.084851
1.23,3,0.091275
1.18,4,0.096387
1.66,4,0.101867
1.46,3,0.109097
0.62,4,0.117129
0.98,3,0.125252
0.98,3,0.126585
0.23,3,0.133301
1.5,3,0.140968
1.04,3,0.145759
1.71,6,0.152072
2.72,5,0.159855
1.41,5,0.171505
0.63,3,0.173119
1.33,3,0.181507
1.48,4,0.189154
1.0,3,0.197156
0.24,3,0.206426
2.53,5,0.21394
1.8,5,0.221965
2.54,6,0.233126
1.86,5,0.240073
2.48,5,0.247184
0.64,3,0.254391
3.16,6,0.261764
2.2,5,0.270749
1.46,4,0.276147
1.94,5,0.282817
1.09,3,0.289773
1.8,5,0.296597
1.3,3,0.303809
0.58,3,0.306389
1.31,4,0.312117
0.77,3,0.319651
1.11,3,0.326125
2.06,3,0.333775
1.64,4,0.341639
1.59,4,0.347635
1.9,5,0.355542
1.37,3,0.362552
1.76,5,0.369979
1.95,4,0.37509
1.84,4,0.380054
1.73,4,0.386186
2.59,6,0.391714
1.1,4,0.399264
1.2,3,0.407521
1.93,4,0.415301
1.85,4,0.421155
1.37,4,0.427867
2.2,4,0.433785
1.21,4,0.440872
1.94,4,0.447346
0.75,3,0.454195
1.0,3,0.46152
0.8,4,0.468075
1.93,4,0.473429
2.63,5,0.480703
1.48,4,0.48768
2.17,5,0.494444
0.89,3,0.501053
0.77,3,0.509323
1.0,3,0.512454
1.33,4,0.519054
1.28,4,0.526018
0.64,3,0.531907
1.0,3,0.538632
0.72,3,0.545222
0.63,3,0.54723
1.1,3,0.552825
1.12,3,0.559181
1.15,3,0.565487
0.93,3,0.56689
0.72,4,0.573624
2.08,4,0.578964
1.75,4,0.586406
1.41,3,0.59341
1.03,4,0.600065
0.61,3,0.608389
0.63,3,0.616002
2.85,5,0.623805
1.96,4,0.631215
1.15,3,0.63733
1.0,3,0.63981
1.34,4,0.645766
1.0,3,0.652357
1.15,3,0.657867
0.75,3,0.663141
1.45,3,0.663863
1.04,3,0.670894
1.07,4,0.677049
1.04,3,0.684866
0.99,3,0.690972
1.0,3,0.692652
1.0,3,0.699558
1.0,3,0.70834
1.01,3,0.714823
1.26,4,0.720714
0.15,2,0.721591
3.03,6,0.732511
0.78,3,0.733736
0.92,3,0.740727
1.0,3,0.749546
1.86,4,0.757003
1.7,4,0.766031
0.71,3,0.774633
1.45,3,0.776981
1.0,3,0.785438
1.34,4,0.792269
1.18,3,0.797851
1.0,3,0.803413
1.73,5,0.809663
1.52,4,0.815908
1.0,3,0.821837
1.0,3,0.825772
1.53,4,0.832158
1.68,4,0.838762
1.0,3,0.844428
1.0,3,0.852313
1.41,4,0.857949
0.83,3,0.863164
1.72,4,0.869946
1.11,3,0.871551
1.03,3,0.87644
2.04,5,0.882471
2.14,4,0.888485
1.32,3,0.89404
1.32,4,0.900637
1.0,3,0.907509
1.0,3,0.914845
1.0,3,0.917264
1.91,4,0.923309
0.34,4,0.928452
1.0,3,0.933847
1.0,3,0.939294
1.14,3,0.944445
0.85,3,0.945936
2.54,5,0.955025
1.0,3,0.956927
1.74,4,0.962458
1.61,4,0.967213
1.0,3,0.971796
1.24,3,0.976718
1.96,4,0.981926
1.0,3,0.988191
0.61,3,0.989717
1.0,3,0.995107
1.0,3,1.000945
1.0,3,1.007967
0.86,3,1.009701
0.84,3,1.01671
1.0,3,1.023923
1.0,3,1.031527
1.0,3,1.033362
1.02,4,1.039056
1.0,3,1.0449
1.35,3,1.049924
1.05,3,1.054954
1.0,3,1.056538
0.68,4,1.061765
1.0,3,1.067152
1.0,3,1.073596
1.15,4,1.079316
1.0,3,1.086719
0.21,3,1.087569
1.28,3,1.094739
1.0,3,1.101966
1.44,4,1.10986
1.94,4,1.120628
1.0,3,1.127362
2.06,4,1.133203
1.0,3,1.13561
0.51,3,1.141826
1.0,3,1.148481
1.0,3,1.155951
1.0,3,1.15921
1.64,4,1.167581
1.28,3,1.175395
1.45,4,1.18184
1.66,4,1.19103
1.0,3,1.199582
1.33,3,1.208316
1.0,3,1.212299
1.98,5,1.225568
1.22,3,1.227862
1.0,3,1.235376
1.0,3,1.243721
1.0,3,1.252038
1.0,3,1.255134
1.0,3,1.263338
1.0,3,1.272651
1.0,3,1.280776
1.7,4,1.289513
0.51,3,1.291961
1.0,3,1.300663
1.0,3,1.308934
1.0,3,1.318493
0.73,3,1.321016
1.59,4,1.329406
0.63,3,1.337294
1.0,3,1.350668
1.0,3,1.359347
1.0,3,1.362321
1.0,3,1.371343
1.0,3,1.379973
1.03,3,1.387524
1.36,4,1.396915
1.06,3,1.399463
1.0,3,1.40781
1.0,3,1.416206
1.0,3,1.425271
1.0,3,1.428499
1.0,3,1.437009
1.0,3,1.445691
1.0,3,1.454349
1.0,3,1.456685
1.0,3,1.46495
1.0,3,1.473222
1.0,3,1.481301
1.0,3,1.484179
1.0,3,1.492913
1.0,3,1.501271
1.0,3,1.509671
1.0,3,1.512287
1.0,3,1.522229
1.0,3,1.530743
1.0,3,1.539456
1.0,3,1.542754
1.94,4,1.551179
1.0,3,1.559664
1.0,3,1.567879
1.0,3,1.575397
1.0,3,1.577185
1.0,3,1.58435
1.0,3,1.59059
1.0,3,1.595564
1.0,3,1.59779
0.86,3,1.603712
1.0,3,1.611554
1.0,3,1.619247
1.0,3,1.6211
1.38,3,1.627295
1.0,4,1.633429
1.0,3,1.640954
1.0,3,1.647942
1.0,3,1.650536
1.0,3,1.657789
1.0,3,1.665792
1.0,3,1.673282
1.0,3,1.675902
1.0,3,1.684029
1.0,3,1.692106
1.0,3,1.697525
1.0,3,1.699539
1.0,3,1.705163
1.0,3,1.712884
1.78,4,1.723225
1.0,3,1.73122
1.0,3,1.734257
1.0,3,1.741871
1.0,3,1.749888
1.61,4,1.757768
1.0,3,1.764724
1.0,3,1.767366
1.0,3,1.77453
1.0,3,1.781622
1.0,3,1.789806
1.0,3,1.792356
1.0,3,1.799992
1.0,3,1.807021
1.0,3,1.814346
1.0,3,1.817515
1.0,3,1.82458
1.0,3,1.832461
1.0,3,1.840268
1.0,3,1.843052
1.0,3,1.849658
1.0,3,1.855947
1.0,3,1.862696
1.0,3,1.864612
1.0,3,1.870464
1.0,3,1.877432
1.0,3,1.883697
1.0,3,1.885445
1.0,3,1.891379
1.0,3,1.896805
1.0,3,1.90217
1.0,3,1.904266
1.4,3,1.910484
1.0,3,1.916639
1.0,3,1.925246
1.0,3,1.927486
1.0,3,1.933224
1.0,3,1.939123
1.0,3,1.945322
1.0,3,1.947564
0.67,3,1.953372
1.0,3,1.959932
1.0,3,1.966315
1.0,3,1.968502
0.73,3,1.975934
0.86,3,1.982881
1.0,3,1.990904
1.0,3,1.993472
1.0,3,2.001087
1.0,3,2.007779
1.0,3,2.015052
1.0,3,2.017435
1.0,3,2.027056
1.0,3,2.035356
1.0,3,2.043635
1.0,3,2.046311
1.0,3,2.054382
1.0,3,2.062161
1.0,3,2.069719
1.0,3,2.072353
1.0,3,2.081058
1.0,3,2.089493
1.0,3,2.097053
1.0,3,2.099504
1.0,3,2.106831
1.0,3,2.114886
1.0,3,2.123838
1.0,3,2.125937
1.0,3,2.133619
1.0,3,2.140136
1.0,3,2.146406
1.0,3,2.148601
1.0,3,2.15535
1.0,3,2.160833
1.0,3,2.16742
1.0,3,2.169848
1.0,3,2.177805
1.0,3,2.186526
1.0,3,2.19593
1.0,3,2.199517
1.0,3,2.208437
1.0,3,2.21696
1.0,3,2.225931
1.0,3,2.22908
1.0,3,2.236944
1.0,3,2.245318
1.0,3,2.253624
1.0,3,2.25624
1.0,3,2.263183
1.0,3,2.271581
1.0,3,2.278003
1.0,3,2.281501
1.0,3,2.290679
1.0,3,2.298839
1.0,3,2.306961
1.0,3,2.309734
1.0,3,2.317196
1.0,3,2.325649
1.0,3,2.332973
1.0,3,2.335293
1.0,3,2.343144
1.0,3,2.348955
0.92,3,2.35537
1.0,3,2.357428
1.0,3,2.363429
1.0,3,2.371178
1.0,3,2.377542
1.0,3,2.379791
1.0,3,2.385747
1.0,3,2.392105
1.0,3,2.398826
1.0,3,2.400775
0.98,3,2.406772
1.0,3,2.413816
1.0,3,2.420248
1.0,3,2.423058
1.0,3,2.429251
1.0,3,2.435467
1.0,3,2.442531
1.0,3,2.444522
1.0,3,2.451375
1.0,3,2.458874
1.0,3,2.466837
0.83,3,2.46899
1.0,3,2.476907
1.23,3,2.485008
1.0,3,2.492726
1.0,3,2.496283
1.0,3,2.503732
1.0,3,2.510598
1.51,4,2.517243
1.0,3,2.523904
1.0,3,2.525868
1.0,3,2.532077
1.0,3,2.538528
1.0,3,2.543773
1.0,3,2.545463
1.0,3,2.551023
1.0,3,2.556355
1.0,3,2.562722
1.0,3,2.565075
1.0,3,2.572518
1.0,3,2.579744
1.0,3,2.586233
1.0,3,2.588895
1.0,3,2.595694
1.0,3,2.603269
1.0,3,2.6101
1.0,3,2.612072
1.0,3,2.618656
1.0,3,2.627085
1.0,3,2.633673
1.0,3,2.636017
1.0,3,2.644295
1.0,3,2.65197
1.0,3,2.658891
1.0,3,2.661478
1.0,3,2.668018
1.0,3,2.674763
1.0,3,2.680749
1.0,3,2.68258
1.0,3,2.688407
0.65,3,2.695326
1.0,3,2.702418
1.0,3,2.704498
1.0,3,2.710937
1.0,3,2.717319
1.0,3,2.725984
1.0,3,2.72877
1.0,3,2.73632
1.0,3,2.743361
1.0,3,2.749192
1.0,3,2.751346
1.0,3,2.75861
1.0,3,2.764515
1.0,3,2.784167
1.0,3,2.78603
1.0,3,2.794191
1.0,3,2.805946
1.0,3,2.848659
1.0,3,2.853211
1.0,3,2.863963
1.0,3,2.872705
1.0,3,2.880481
1.0,3,2.883297
1.0,3,2.891567
1.0,3,2.900139
1.0,3,2.908517
1.0,3,2.911218
1.0,3,2.919215
1.0,3,2.927479
1.63,3,2.934552
1.0,3,2.936964
1.0,3,2.944443
1.0,3,2.952848
1.0,3,2.960565
1.0,3,2.962624
1.0,3,2.96999
1.0,3,2.978477
1.0,3,2.986965
1.0,3,2.989967
1.0,3,2.998958
1.0,3,3.006945
1.0,3,3.014225
1.0,3,3.016595
1.0,3,3.023731
1.0,3,3.031529
1.0,3,3.040241
1.12,3,3.042725
1.0,3,3.051415
1.0,3,3.060534
1.0,3,3.068444
1.0,3,3.070984
1.0,3,3.079053
1.0,3,3.086872
1.0,3,3.093334
1.0,3,3.095093
1.0,3,3.100492
1.0,3,3.106453
1.0,3,3.115066
1.0,3,3.118029
1.0,3,3.12577
1.0,3,3.133074
1.0,3,3.139334
0.83,3,3.140893
1.0,3,3.148175
1.0,3,3.155489
1.0,3,3.163127
1.0,3,3.165807
1.0,3,3.173741
1.0,3,3.181326
1.0,3,3.189093
1.0,3,3.192106
1.0,3,3.200489
1.0,3,3.209563
1.0,3,3.217295
1.0,3,3.22055
1.0,3,3.228375
1.0,3,3.237009
1.0,3,3.244782
1.0,3,3.247355
1.0,3,3.254878
1.0,3,3.263155
1.0,3,3.271838
1.0,3,3.273481
1.0,3,3.279477
0.61,3,3.285964
1.0,3,3.294501
1.0,3,3.297093
1.0,3,3.304488
1.0,3,3.313066
0.68,3,3.320975
0.73,3,3.323375
0.5,3,3.331742
1.0,3,3.340463
1.0,3,3.34831
1.0,3,3.350801
1.0,3,3.35705
1.0,3,3.365134
1.0,3,3.372787
1.0,3,3.375623
1.0,3,3.384063
1.0,3,3.392734
1.0,3,3.400942
1.0,3,3.403471
1.0,3,3.412066
1.0,3,3.421085
1.0,3,3.429855
1.0,3,3.433313
1.0,3,3.441962
0.57,3,3.450365
1.0,3,3.461221
1.0,3,3.464687
1.0,3,3.473806
1.0,3,3.482796
1.0,3,3.491928
1.0,3,3.495464
1.0,3,3.504719
1.0,3,3.514
1.0,3,3.523308
0.64,3,3.525783
1.0,3,3.536299
1.0,3,3.545538
1.0,3,3.554377
1.0,3,3.557641
1.0,3,3.56682
1.0,3,3.576763
1.0,3,3.586138
1.0,3,3.589545
1.0,3,3.599113
1.0,3,3.607732
1.0,3,3.615748
1.0,3,3.618733
1.0,3,3.627278
1.0,3,3.636081
1.78,4,3.644921
1.0,3,3.65271
1.0,3,3.654913
1.0,3,3.661414
1.0,3,3.669705
1.0,3,3.677356
1.0,3,3.67978
0.61,3,3.687034
1.57,4,3.694195
1.0,3,3.700359
1.0,3,3.708886
1.66,4,3.716945
1.0,3,3.719642
1.0,3,3.727522
1.0,3,3.734811
1.0,3,3.742947
1.0,3,3.745425
1.0,3,3.752827
1.0,3,3.759988
1.0,3,3.767792
1.0,3,3.770509
1.15,3,3.776323
1.0,3,3.782772
1.0,3,3.789255
1.0,3,3.791394
1.0,3,3.798277
1.0,3,3.805066
1.0,3,3.811222
1.0,3,3.813211
1.0,3,3.832868
1.0,3,3.839861
1.0,3,3.847359
1.0,3,3.849434
1.0,3,3.857906
1.14,3,3.866043
1.0,3,3.874844
1.93,4,3.883504
1.0,3,3.886497
1.0,3,3.894471
1.0,3,3.899893
1.0,3,3.905291
1.0,3,3.907114
1.0,3,3.912434
1.0,3,3.920095
1.0,3,3.92785
1.0,3,3.929831
1.0,3,3.938379
1.0,3,3.946072
1.0,3,3.953374
1.0,3,3.95612
1.0,3,3.963911
1.0,3,3.97259
1.0,3,3.980745
1.0,3,3.983685
1.0,3,3.992523
1.0,3,4.000942
1.05,3,4.008033
1.0,3,4.009758
1.0,3,4.015802
1.0,3,4.024092
1.0,3,4.032478
1.0,3,4.035888
1.0,3,4.044465
1.0,3,4.052735
1.0,3,4.060099
1.0,3,4.062865
1.04,3,4.069045
1.0,3,4.07708
1.0,3,4.085387
0.78,3,4.087732
1.0,3,4.095986
1.0,3,4.104484
1.0,3,4.111978
1.0,3,4.114041
1.0,3,4.12026
