#{"t_start": 1774868048.6854339, "env_id": "None"}
r,l,t
1.02,4,0.023967
2.23,4,0.032672
2.35,4,0.041047
1.7,3,0.048043
1.51,4,0.056801
1.66,3,0.063292
1.39,5,0.072968
1.6,4,0.079753
0.81,4,0.088463
2.46,5,0.100477
3.33,5,0.11037
2.46,7,0.124806
1.66,4,0.132782
2.09,5,0.143345
1.61,6,0.156254
1.83,4,0.164417
2.1,4,0.174
2.95,6,0.187738
2.2,4,0.196624
1.7,4,0.206559
1.64,5,0.217329
0.9,6,0.2316
3.21,5,0.240934
0.65,4,0.24753
2.55,4,0.256088
3.51,6,0.267031
1.69,6,0.278497
2.29,4,0.286039
3.11,5,0.2963
3.44,5,0.307488
2.51,4,0.315937
1.47,4,0.324656
2.26,5,0.334965
3.41,7,0.350373
1.75,4,0.358129
0.79,5,0.36734
2.32,5,0.37528
2.81,6,0.385894
1.4,3,0.391163
2.97,8,0.407367
0.74,3,0.413131
3.43,6,0.424445
1.78,4,0.43218
2.01,4,0.440411
2.68,5,0.449751
2.83,4,0.458031
2.24,5,0.466851
2.15,5,0.475658
2.22,5,0.485221
0.89,4,0.493604
3.02,6,0.507654
2.89,7,0.520994
2.35,7,0.531338
1.6,4,0.539643
2.03,5,0.547876
1.73,4,0.555727
1.86,6,0.56535
1.34,3,0.570279
2.11,4,0.575928
1.07,4,0.581946
2.15,6,0.590896
2.73,6,0.600076
0.94,3,0.604384
1.29,4,0.611707
0.61,4,0.617963
0.14,3,0.622509
1.06,4,0.628328
0.62,4,0.634645
2.38,5,0.64256
2.89,5,0.650935
1.71,5,0.658643
1.81,5,0.665441
2.0,6,0.673643
3.72,7,0.683412
3.16,6,0.691262
1.36,4,0.696441
1.63,5,0.702956
1.53,4,0.709292
2.4,6,0.71758
1.49,4,0.723708
0.49,3,0.728153
1.47,4,0.73378
1.9,4,0.739411
1.65,4,0.745284
1.29,5,0.752376
0.9,3,0.756692
2.19,5,0.76398
0.63,3,0.768281
1.71,3,0.772356
2.21,5,0.778829
1.96,5,0.785082
2.23,5,0.791345
1.41,4,0.797117
2.29,4,0.802956
1.61,3,0.807643
2.71,5,0.815264
2.01,5,0.822215
2.33,5,0.829185
2.11,4,0.83456
3.37,5,0.841397
0.55,4,0.84698
2.54,5,0.853851
1.22,4,0.859493
1.78,3,0.863566
1.89,4,0.868687
2.15,6,0.876305
1.75,4,0.881567
1.17,5,0.88818
2.11,5,0.895648
1.98,5,0.902041
1.88,5,1.662599
0.9,4,1.669341
0.9,3,1.674329
1.71,4,1.680386
1.85,5,1.687795
3.14,6,1.696043
1.9,4,1.701864
2.5,4,1.707531
1.53,4,1.713988
1.3,4,1.721682
3.65,6,1.731381
2.82,5,1.73867
1.32,4,1.744433
2.05,5,1.751742
0.98,3,1.756197
1.96,3,1.760395
1.76,3,1.76486
2.44,4,1.770489
1.87,5,1.777239
2.8,6,1.7864
2.34,5,1.794883
1.15,5,1.802824
1.73,5,1.810306
2.6,6,1.81977
1.33,3,1.824442
0.97,5,1.831962
1.76,5,1.839795
2.2,5,1.849677
0.92,3,1.856647
1.73,5,1.867081
1.26,3,1.873486
1.69,3,1.881212
1.32,5,1.891792
1.54,4,1.910337
0.82,4,1.957297
1.59,5,1.994248
0.9,4,2.002932
0.88,4,2.011246
2.97,8,2.027759
3.96,6,2.038039
2.53,5,2.048536
2.17,7,2.059625
3.56,7,2.073395
1.1,3,2.078405
2.58,5,2.087618
0.84,5,2.099072
1.24,5,2.109386
2.02,6,2.119247
1.99,5,2.129381
0.59,4,2.138326
1.23,3,2.145963
1.2,3,2.15189
0.57,3,2.15758
2.63,3,2.164031
1.96,5,2.176973
2.58,5,2.187232
1.68,4,2.194121
1.0,4,2.200251
1.63,3,2.205601
1.57,4,2.212497
2.92,6,2.225536
3.0,6,2.238233
0.7,3,2.243953
1.42,6,2.255921
2.8,6,2.268233
1.99,6,2.279735
1.33,4,2.287654
1.29,4,2.295667
2.53,4,2.304069
1.29,3,2.310017
0.76,4,2.318323
3.74,6,2.332713
1.01,4,2.341379
0.99,3,2.348089
1.81,4,2.355993
0.49,3,2.361669
2.09,4,2.369403
1.45,4,2.37711
1.7,5,2.386825
1.31,4,2.395043
2.08,5,2.404289
1.85,4,2.413058
1.07,4,2.421516
2.57,5,2.431888
2.83,6,2.444362
0.75,4,2.452265
0.91,3,2.458674
3.39,5,2.469298
2.27,6,2.483853
0.6,3,2.489409
1.62,4,2.497252
2.67,5,2.51036
1.39,3,2.51737
2.51,5,2.52857
1.73,5,2.537571
1.5,4,2.54522
1.44,5,2.555201
1.42,4,2.56435
0.55,4,2.57191
2.85,6,2.584081
1.3,4,2.592457
0.59,3,2.599065
3.79,5,2.608783
2.06,6,2.620789
2.24,6,2.634642
0.49,3,2.640732
2.34,5,2.651019
1.45,4,2.658641
3.73,6,2.670066
1.52,3,2.675554
1.52,4,2.683351
1.58,3,2.689348
1.29,4,2.696885
1.19,5,2.707798
2.26,4,2.717136
2.13,4,3.517472
2.35,5,3.526395
2.21,4,3.534351
1.27,3,3.539614
1.18,5,3.550795
0.89,3,3.557292
2.4,5,3.567678
0.83,4,3.575538
1.3,5,3.585088
3.95,6,3.596447
3.71,7,3.610592
3.11,6,3.622907
0.89,4,3.631048
3.01,7,3.647846
1.65,4,3.6557
1.9,5,3.66519
2.61,6,3.676018
3.18,7,3.689131
1.65,5,3.698275
1.85,5,3.706992
1.71,4,3.714462
3.2,6,3.724703
1.13,4,3.732408
0.59,3,3.739724
2.7,4,3.751085
2.6,6,3.762181
2.6,6,3.775234
1.52,6,3.789006
0.05,3,3.796504
1.64,3,3.804332
1.63,4,3.813819
1.58,6,3.826431
1.0,4,3.8356
1.74,5,3.847659
1.15,5,3.858917
1.62,5,3.868996
1.89,4,3.876131
2.68,6,3.886564
0.87,5,3.895014
1.76,5,3.903014
1.0,4,3.910023
1.92,4,3.917086
2.07,4,3.924639
1.77,4,3.932196
1.61,3,3.939412
2.37,6,3.950865
2.77,6,3.965228
2.34,6,3.988844
2.08,6,4.003929
4.03,7,4.01773
1.34,3,4.023183
3.51,9,4.041133
1.57,6,4.054347
2.21,7,4.068731
0.9,3,4.074586
1.64,4,4.082713
3.85,6,4.09549
1.74,4,4.104162
2.23,6,4.115183
2.49,4,4.122501
1.57,3,4.12835
1.87,5,4.138895
1.29,4,4.145577
1.28,4,4.152339
2.32,4,4.158585
1.3,3,4.163759
2.9,5,4.171788
