#{"t_start": 1774867573.3064075, "env_id": "None"}
r,l,t
1.02,4,0.024601
2.23,4,0.032918
2.35,4,0.040944
1.7,3,0.047
1.51,4,0.055049
1.66,3,0.060502
1.39,5,0.069978
1.6,4,0.076732
0.81,4,0.083588
2.46,5,0.093531
3.33,5,0.104365
2.46,7,0.119992
1.66,4,0.128265
2.09,5,0.137383
1.61,6,0.148653
1.83,4,0.156956
2.1,4,0.165032
2.95,6,0.176246
2.2,4,0.183727
1.7,4,0.190891
1.64,5,0.200227
0.9,6,0.211863
3.21,5,0.22088
0.65,4,0.228009
2.55,4,0.235914
3.51,6,0.24817
1.69,6,0.259803
2.29,4,0.26787
3.11,5,0.277285
3.44,5,0.286915
2.51,4,0.29491
1.47,4,0.302361
2.26,5,0.313978
3.41,7,0.326993
1.75,4,0.334565
0.79,5,0.342438
2.32,5,0.352737
2.81,6,0.366697
1.4,3,0.372765
2.97,8,0.389268
0.74,3,0.395213
3.43,6,0.407108
1.78,4,0.414751
2.01,4,0.423248
2.68,5,0.43368
2.83,4,0.443055
2.24,5,0.454427
2.15,5,0.464492
2.22,5,0.476254
0.89,4,0.486231
3.02,6,0.499021
2.89,7,0.513906
2.35,7,0.52614
1.6,4,0.53225
2.03,5,0.540235
1.73,4,0.546693
1.86,6,0.554725
1.34,3,0.559351
2.11,4,0.564302
1.07,4,0.571633
2.15,6,0.58092
2.73,6,0.590427
0.94,3,0.594775
1.29,4,0.601317
0.61,4,0.607446
0.14,3,0.612544
1.06,4,0.619522
0.62,4,0.626709
2.38,5,0.634593
2.89,5,0.640303
1.71,5,0.645439
1.81,5,0.650266
2.0,6,0.657732
3.72,7,0.667504
3.16,6,0.674546
1.36,4,0.678908
1.63,5,0.685732
1.53,4,0.691522
2.4,6,0.701276
1.49,4,0.707451
0.49,3,0.713067
1.47,4,0.720222
1.9,4,0.727159
1.65,4,0.733957
1.29,5,0.74198
0.9,3,0.746597
2.19,5,0.753981
0.63,3,0.75854
1.71,3,0.763064
2.21,5,0.77144
1.96,5,0.779299
2.23,5,0.785141
1.41,4,0.789505
2.29,4,0.793381
1.61,3,0.796534
2.71,5,0.801929
2.01,5,0.806627
2.33,5,0.812097
2.11,4,0.815796
3.37,5,0.820667
0.55,4,0.824488
2.54,5,0.829399
1.22,4,0.833328
1.78,3,0.837152
1.89,4,0.843227
2.15,6,0.851563
1.75,4,0.856623
1.17,5,0.863647
2.11,5,0.869625
1.98,5,0.876566
1.88,5,1.535629
0.9,4,1.541259
0.9,3,1.545097
1.71,4,1.550178
1.85,5,1.556141
4.2,7,1.563401
4.44,5,1.56872
1.07,3,1.571845
1.59,4,1.576973
1.58,4,1.583035
2.68,5,1.591404
3.66,7,1.603029
1.82,4,1.60846
1.97,5,1.614263
1.57,3,1.61778
