#{"t_start": 1774867348.65891, "env_id": "None"}
r,l,t
1.03,4,0.071916
2.41,5,0.097188
1.74,4,0.1068
1.14,5,0.119777
1.3,3,0.128172
1.7,5,0.142469
1.38,4,0.152421
2.48,5,0.165627
2.04,8,0.186546
2.28,5,0.198712
1.79,5,0.210784
1.02,5,0.222457
3.75,6,0.236258
1.86,5,0.247618
0.94,3,0.25513
2.66,7,0.272964
1.7,4,0.282782
2.82,6,0.29704
1.88,5,0.309699
1.15,4,0.319036
1.55,4,0.328884
1.68,3,0.336977
1.63,5,0.350531
2.16,5,0.363505
2.26,5,0.377046
2.33,7,0.394483
2.07,5,0.409437
1.06,5,0.422209
1.38,4,0.432418
1.41,4,0.442572
1.52,4,0.45222
3.26,5,0.464694
1.89,4,0.475309
0.86,3,0.482578
2.65,6,0.497792
2.28,5,0.509694
2.48,7,0.525994
2.51,6,0.541187
2.28,6,0.555918
3.12,6,0.570723
3.62,7,0.588197
3.21,5,0.600417
2.47,5,0.612289
3.01,6,0.628097
0.82,4,0.638488
1.0,4,0.648661
1.58,4,0.659113
0.93,3,0.666594
2.52,5,0.678261
2.41,6,0.693747
1.68,5,0.706016
3.35,5,0.719022
0.21,4,0.728954
1.6,3,0.736591
2.15,6,0.75156
1.88,6,0.765307
0.57,4,0.774784
1.15,5,0.786487
1.91,5,0.798792
1.52,4,0.808429
2.25,5,0.820638
0.3,3,0.827972
2.89,6,0.844297
0.63,5,0.856955
1.67,4,0.866855
1.31,3,0.876053
1.6,4,0.886572
0.61,3,0.894406
2.37,6,0.910033
2.81,6,0.92484
0.64,4,0.935313
2.34,5,0.948837
1.65,5,0.960859
0.99,3,0.968415
1.74,5,0.981613
1.29,4,0.991184
2.51,5,1.003781
1.02,4,1.013176
0.69,3,1.019849
1.92,7,1.037037
1.2,4,1.046685
2.77,7,1.064423
2.74,5,1.078323
1.05,4,1.087507
1.85,5,1.099794
1.14,4,1.110089
1.22,4,1.120503
2.59,6,1.136636
2.28,5,1.148492
0.73,4,1.158336
2.93,5,1.17128
2.47,4,1.181965
1.68,3,1.189254
2.26,4,1.198599
2.87,6,1.2131
1.02,3,1.220377
1.54,4,1.23022
2.94,6,1.245527
1.7,5,1.258225
1.2,4,1.268221
1.17,4,1.278121
1.12,3,1.285849
0.49,3,1.293079
0.96,3,1.301581
1.99,5,1.315036
1.67,6,1.332675
0.67,4,1.344986
0.48,3,1.354525
1.27,4,1.365244
1.25,6,2.178416
2.12,4,2.18604
1.24,5,2.19462
4.91,11,2.21281
1.01,4,2.218413
2.18,5,2.226234
2.63,4,2.232556
4.02,6,2.241886
2.13,4,2.247938
2.21,6,2.257125
1.9,3,2.262021
1.94,5,2.269295
1.7,5,2.276181
2.68,5,2.284513
1.8,5,2.292017
0.88,4,2.298081
3.19,7,2.308936
3.37,7,2.319785
0.94,3,2.324243
2.67,6,2.333955
2.11,6,2.343624
0.77,4,2.350661
0.54,3,2.355652
0.94,5,2.363882
2.45,4,2.370372
2.86,5,2.378061
1.44,4,2.385783
3.47,7,2.397782
0.83,3,2.403016
0.64,4,2.412006
2.81,7,2.422686
1.76,4,2.428612
2.17,5,2.435763
1.66,4,2.443148
1.02,3,2.447671
0.17,4,2.453763
3.26,7,2.464688
1.1,3,2.469454
1.36,4,2.475605
3.48,6,2.484688
