#{"t_start": 1774938213.4903252, "env_id": "None"}
r,l,t
0.5,3,0.023584
0.74,4,0.038768
2.54,5,0.060924
1.6,5,0.070434
1.5,6,0.0817
3.36,6,0.091812
2.41,4,0.099752
2.42,5,0.109696
1.74,4,0.117705
1.36,4,0.124946
3.34,6,0.13712
2.0,4,0.144664
2.46,4,0.151979
3.42,6,0.163153
3.02,7,0.176684
1.41,4,0.184792
1.28,4,0.19248
1.3,4,0.200315
2.65,6,0.210253
2.32,6,0.220416
1.61,4,0.227018
3.41,5,0.236062
1.77,4,0.24343
1.39,5,0.251874
0.84,4,0.258665
1.01,3,0.265079
2.54,4,0.27213
1.57,4,0.279646
4.04,8,0.294646
2.68,3,0.299916
2.17,5,0.309135
1.3,3,0.314723
2.14,5,0.3233
2.8,6,0.333417
2.19,5,0.34238
1.52,4,0.349591
0.56,3,0.354747
3.55,7,0.363924
0.23,3,0.368348
1.82,4,0.37399
3.04,6,0.383773
1.41,4,0.39079
1.23,4,0.39789
3.37,6,0.407868
1.0,3,0.412376
1.8,4,0.419075
1.74,4,0.425173
1.71,3,0.429806
2.06,4,0.435899
2.33,5,0.443552
1.53,4,0.449732
0.68,3,0.453983
1.7,5,0.461027
1.47,4,0.466957
0.99,3,0.471641
1.75,4,0.477829
1.23,3,0.482322
0.9,4,0.495991
1.92,4,0.502864
1.54,4,0.510566
1.6,4,0.517665
0.65,3,0.522988
2.91,5,0.530945
0.18,3,0.535636
2.04,4,0.54212
1.06,6,0.551758
2.02,5,0.560473
2.57,4,0.567254
3.37,5,0.575581
1.4,3,0.58095
2.13,4,0.588868
0.99,3,0.59514
1.08,3,0.601377
1.14,3,0.607615
0.79,3,0.612802
0.77,4,0.618947
1.7,4,0.623743
1.78,4,0.629135
1.2,5,0.636811
2.09,5,0.643332
1.54,6,0.650361
1.82,4,0.656505
3.2,7,0.665775
3.31,5,0.672003
0.86,3,0.677067
1.26,4,0.683364
2.81,5,0.689812
2.74,5,0.69664
1.88,6,0.70403
1.51,4,0.709148
2.1,5,0.715162
1.15,3,0.718934
1.09,4,0.723201
2.77,5,0.728164
1.58,3,0.731688
1.34,4,0.738511
1.53,4,0.745841
2.12,4,0.753258
1.78,4,0.760728
0.76,4,0.768161
1.21,4,0.775398
1.05,4,0.782203
1.06,3,0.787148
1.94,6,0.794994
2.09,5,0.804173
2.28,4,0.809788
2.19,4,0.813985
1.8,5,0.820224
0.68,4,0.825362
0.76,4,0.830933
1.1,4,0.836266
3.05,5,0.844347
2.6,5,0.852173
0.73,4,0.859261
1.49,4,0.865555
1.31,4,0.872526
1.08,3,0.877821
0.98,3,0.882082
0.84,4,1.546297
3.54,6,1.555776
2.58,5,1.563455
3.24,6,1.572692
2.25,5,1.578293
2.63,5,1.584947
2.71,5,1.590454
1.43,4,1.594664
0.54,5,1.601265
2.56,5,1.607862
2.76,9,1.620939
0.41,3,1.624735
2.9,6,1.632384
1.06,4,1.637751
2.33,4,1.64307
1.6,5,1.649709
0.44,3,1.654452
2.57,6,1.664517
1.22,4,1.671676
2.7,5,1.680358
2.88,5,1.688844
1.45,4,1.69557
1.25,4,1.70211
1.47,4,1.708304
2.22,4,1.714988
1.54,4,1.720037
1.17,4,1.724659
0.82,4,1.728766
2.24,6,1.735689
1.31,3,1.738713
2.34,4,1.74258
1.63,6,1.752185
2.91,5,1.759878
1.67,4,1.76684
2.48,4,1.773232
2.09,5,1.781857
0.56,3,1.78632
0.9,3,1.789911
1.88,4,1.795341
1.45,4,1.801703
2.53,4,1.808282
2.14,5,1.817255
2.47,5,1.825883
1.67,3,1.830936
1.64,3,1.835733
2.4,5,1.843811
3.04,5,1.851219
2.05,4,1.857442
2.48,5,1.865802
1.79,4,1.872828
1.51,3,1.877735
2.22,5,1.885822
1.97,5,1.893472
1.09,3,1.896964
1.84,4,1.900945
1.67,3,1.903827
0.79,3,1.906881
1.27,4,1.910977
0.86,3,1.914676
1.33,4,1.918665
1.81,5,1.923297
0.8,4,1.927149
1.59,5,1.931969
2.4,6,1.939255
1.54,4,1.943593
1.17,4,1.9491
2.08,4,1.953648
3.14,7,1.963225
0.83,3,1.96753
2.02,5,1.973965
3.03,6,1.982205
1.68,4,1.986704
2.18,5,1.992038
0.76,3,1.9949
1.65,4,1.998748
1.29,5,2.003752
2.04,4,2.007817
3.18,6,2.014093
3.27,7,2.022198
0.05,3,2.026027
1.71,4,2.029866
3.22,5,2.035453
3.0,6,2.044625
0.94,4,2.050738
2.21,5,2.057535
1.42,3,2.061993
1.6,4,2.067668
