#{"t_start": 1774867787.7272484, "env_id": "None"}
r,l,t
1.45,6,0.021761
0.79,4,0.027117
3.15,8,0.039036
1.22,4,0.045998
3.13,5,0.053827
0.84,4,0.059176
1.68,3,0.063332
2.19,4,0.070465
0.94,3,0.076871
0.81,5,0.08564
2.8,6,0.095678
1.16,5,0.103487
1.21,3,0.108633
0.56,4,0.116235
1.39,4,0.124908
1.71,6,0.13434
2.43,7,0.142393
1.94,5,0.147466
1.07,5,0.153363
1.01,6,0.160612
1.01,4,0.166445
1.28,4,0.171493
1.05,4,0.177488
1.67,4,0.183851
2.42,6,0.193655
0.84,4,0.199792
1.28,4,0.205517
2.13,5,0.212739
1.0,3,0.217292
1.24,5,0.224777
2.33,5,0.233109
1.64,5,0.244537
0.47,4,0.251888
2.85,5,0.266882
0.2,3,0.3035
2.83,5,0.32976
1.74,4,0.348383
1.69,5,0.35572
0.93,4,0.362613
1.5,3,0.368741
0.7,5,0.377447
2.42,5,0.385212
2.12,5,0.393148
1.63,3,0.398177
0.93,4,0.404587
0.63,4,0.411295
1.33,4,0.417308
1.97,5,0.42313
1.07,3,0.427754
1.76,3,0.432639
0.97,6,0.440028
1.23,3,0.444144
1.4,4,0.450066
2.01,5,0.456705
1.86,4,0.46339
1.66,4,0.471173
1.66,4,0.480373
1.51,3,0.814261
1.38,4,0.823091
1.27,5,0.828773
2.07,4,0.834289
1.84,5,0.842634
3.06,6,0.8542
2.18,5,0.862999
2.07,4,0.869372
3.79,6,0.879757
1.61,4,0.887856
2.14,5,0.895154
1.28,4,0.899956
1.7,5,0.905546
1.23,4,0.911405
1.01,4,0.916891
1.44,4,0.922975
1.82,5,0.930448
2.23,5,0.93763
1.88,5,0.94448
0.2,4,0.949095
2.88,7,0.957976
2.99,6,0.965011
2.23,5,0.972485
0.78,3,0.977105
3.85,7,0.988388
1.38,5,0.996147
0.88,3,1.000923
1.39,4,1.008325
1.41,6,1.020612
2.91,6,1.033197
1.32,4,1.039095
2.1,7,1.048624
2.62,4,1.053941
1.58,4,1.059298
1.92,5,1.065155
3.68,6,1.072883
1.14,4,1.0792
1.2,4,1.085117
1.62,4,1.092799
2.25,5,1.100899
2.1,5,1.109581
1.57,5,1.116963
2.32,6,1.127095
1.34,4,1.13447
3.1,5,1.141961
1.42,5,1.149769
3.42,7,1.158556
2.67,5,1.165501
1.95,4,1.1712
0.9,3,1.175949
2.2,5,1.181929
2.35,5,1.188202
0.89,3,1.192157
1.81,5,1.199418
1.38,4,1.533315
1.61,4,1.539252
0.04,3,1.543829
4.53,8,1.554227
0.57,4,1.558187
1.88,4,1.562884
1.88,4,1.569542
0.78,4,1.574533
1.51,4,1.579226
2.43,6,1.586534
0.24,3,1.592344
1.97,5,1.601108
1.08,6,1.610904
1.47,6,1.619504
1.3,4,1.625323
2.15,6,1.634631
1.5,4,1.641263
2.66,6,1.652014
0.34,3,1.656459
2.5,5,1.662715
1.33,4,1.668822
2.83,6,1.678342
1.65,4,1.684481
1.08,3,1.687669
1.55,3,1.691504
2.69,7,1.700058
1.81,5,1.705251
1.42,5,1.712564
1.5,3,1.716212
1.54,5,1.721501
1.57,5,1.727464
1.66,4,1.732298
2.03,4,1.737739
2.16,6,1.747069
1.52,4,1.7517
1.71,5,1.757553
2.61,5,1.762993
0.6,3,1.766208
1.95,4,1.771123
1.12,4,1.775742
3.1,6,1.784993
1.6,6,1.794508
2.45,5,1.802151
1.75,4,1.808328
1.44,4,1.815431
2.92,6,1.824606
3.0,5,1.829559
2.43,5,1.835231
0.88,3,1.838946
0.64,4,1.844507
1.98,5,1.853447
1.94,4,1.860459
0.46,3,1.865535
0.58,3,1.870167
1.27,3,1.873782
0.46,4,1.878184
0.6,4,1.883802
2.15,4,2.182294
2.32,6,2.189039
2.14,6,2.196703
0.79,3,2.200478
1.27,4,2.205117
0.38,4,2.209268
2.87,6,2.215963
0.79,3,2.220248
2.51,6,2.227446
2.45,6,2.234198
3.07,5,2.24064
2.72,6,2.247771
1.4,4,2.25256
1.14,4,2.258317
1.44,5,2.267062
2.04,4,2.274474
1.91,3,2.283142
1.73,5,2.293298
3.15,6,2.302195
1.38,6,2.310025
1.69,5,2.317167
2.53,5,2.326069
1.1,4,2.332828
1.66,5,2.342309
0.32,4,2.350091
2.05,4,2.357498
2.35,5,2.36707
2.07,6,2.379092
2.02,5,2.388368
1.91,7,2.398642
3.53,6,2.407062
3.29,6,2.415922
2.15,5,2.424812
3.69,7,2.436641
1.17,6,2.446601
1.81,5,2.454558
1.98,4,2.461457
0.36,3,2.466997
1.26,3,2.473705
3.43,6,2.486663
0.67,4,2.494969
1.12,4,2.501901
1.94,3,2.506916
2.02,5,2.514696
0.56,4,2.520772
2.02,5,2.528821
2.83,7,2.540431
1.55,5,2.548219
2.22,4,2.553174
1.77,5,2.560405
1.69,4,2.565881
2.11,6,2.574129
1.05,4,2.581621
2.0,6,2.942433
1.2,4,2.949662
1.95,7,2.961406
2.44,4,2.968089
2.33,5,2.977213
1.46,5,2.985418
1.32,6,2.995292
0.55,5,3.004407
0.4,3,3.009645
2.03,5,3.019027
0.98,3,3.024067
0.72,4,3.031271
2.42,5,3.041676
2.78,6,3.054478
3.23,5,3.063868
1.92,4,3.071713
2.6,5,3.080498
1.31,4,3.088491
2.35,6,3.098745
1.35,3,3.103121
2.98,7,3.112282
3.04,7,3.121486
3.02,7,3.131107
2.66,6,3.140425
1.52,5,3.145893
1.93,5,3.151666
1.09,4,3.156044
0.94,3,3.160625
1.64,4,3.166605
1.33,6,3.176033
0.6,3,3.180018
1.69,5,3.1864
0.19,3,3.189834
2.02,5,3.197926
1.39,4,3.204764
2.76,5,3.214425
0.86,3,3.218691
0.78,4,3.223778
3.1,7,3.233707
2.03,5,3.240525
0.68,5,3.247339
0.86,4,3.252165
0.37,4,3.2571
1.36,6,3.265932
3.31,7,3.277702
2.45,6,3.289336
0.92,4,3.297729
2.06,5,3.307684
0.51,3,3.313841
2.4,6,3.325987
1.03,3,3.331433
2.23,5,3.340214
2.09,6,3.686724
1.04,4,3.692427
2.05,5,3.699589
2.27,6,3.708167
2.3,4,3.714106
1.77,3,3.718284
0.54,3,3.722271
1.59,4,3.72718
0.76,4,3.73256
2.09,5,3.739948
0.88,4,3.747699
1.66,3,3.752287
2.22,4,3.758861
3.31,6,3.768957
4.06,9,3.785214
1.44,4,3.792303
0.88,4,3.799284
1.16,5,3.809111
0.25,3,3.813044
1.2,4,3.820025
1.54,4,3.826924
1.59,5,3.835717
1.82,5,3.843888
2.12,7,3.855198
3.09,5,3.862745
2.99,6,3.871094
1.38,4,3.877741
1.23,4,3.884579
1.09,4,3.891336
3.47,6,3.900435
0.6,4,3.906482
2.42,5,3.915106
1.85,4,3.921523
1.59,4,3.927386
3.11,5,3.934151
1.97,6,3.942657
1.26,4,3.949508
1.22,3,3.956417
2.34,5,3.96593
1.9,4,3.973928
1.51,4,3.98143
1.24,4,3.98771
1.35,3,3.9926
0.66,3,3.997702
2.78,7,4.007042
1.03,3,4.012708
0.79,4,4.018511
1.0,3,4.023424
1.63,4,4.030712
1.99,6,4.042743
1.54,5,4.052825
1.3,3,4.058746
2.2,6,4.068899
3.62,8,4.084553
1.41,5,4.093079
1.38,4,4.100521
0.65,5,4.108948
1.89,5,4.46317
3.4,6,4.471123
3.25,7,4.479715
2.05,5,4.486695
2.19,4,4.491746
2.2,6,4.500696
2.2,5,4.507675
0.96,4,4.514491
1.17,5,4.521889
2.0,6,4.530367
1.03,4,4.535048
3.19,5,4.540305
1.77,5,4.546596
5.29,9,4.558306
2.27,5,4.563303
1.27,3,4.566801
4.32,8,4.579047
2.24,5,4.58652
1.41,5,4.591532
1.7,4,4.595275
1.64,5,4.600582
1.5,4,4.605652
2.19,6,4.61225
1.38,4,4.617128
3.63,5,4.622603
1.39,4,4.627623
2.25,5,4.633493
1.72,5,4.638317
2.47,5,4.644163
1.61,4,4.648977
2.95,6,4.657213
2.77,6,4.664999
2.05,5,4.672101
3.42,6,4.680143
1.78,5,4.686282
1.62,6,4.69269
0.9,4,4.697624
2.75,5,4.70396
1.97,4,4.707621
1.67,4,4.711554
1.59,5,4.716903
2.03,5,4.722005
2.45,5,4.727966
2.32,5,4.73384
1.83,6,4.740232
1.7,4,4.744318
3.2,6,4.749984
3.24,7,4.75668
1.81,5,4.761559
1.39,4,4.765878
1.65,4,5.069987
4.22,7,5.079723
1.59,4,5.084836
2.65,6,5.090419
1.33,4,5.094593
0.32,4,5.098835
2.42,4,5.10356
3.7,6,5.110614
3.2,6,5.116372
1.74,6,5.122906
0.95,4,5.127401
0.93,3,5.130474
2.77,6,5.136249
1.35,5,5.141516
0.69,3,5.145684
1.9,4,5.150007
2.36,7,5.157608
3.57,6,5.164953
2.68,7,5.173867
2.87,6,5.18257
2.35,4,5.187098
2.66,5,5.192085
1.02,5,5.197277
1.23,5,5.202534
2.23,4,5.207127
1.56,5,5.212783
1.32,5,5.218501
1.55,5,5.224478
1.23,5,5.230569
3.31,6,5.239647
2.01,5,5.247127
2.6,5,5.25381
1.79,5,5.260789
3.76,6,5.270951
1.37,4,5.278662
2.69,5,5.288702
1.05,3,5.294245
1.86,4,5.303524
2.4,5,5.315464
1.43,5,5.324658
2.4,7,5.350861
3.33,6,5.465976
2.15,6,5.478679
2.3,5,5.489805
1.29,5,5.499033
2.55,4,5.507223
1.08,4,5.515389
0.88,5,5.525151
2.13,5,5.535524
2.31,4,5.543148
2.36,6,5.553636
1.82,3,5.939461
1.47,4,5.947081
2.7,5,5.955541
2.73,7,5.965761
2.82,6,5.976016
2.9,6,5.985546
2.4,6,5.99423
2.37,5,6.002636
3.21,6,6.013697
1.19,4,6.020508
1.14,3,6.025594
2.9,5,6.034674
1.36,5,6.04201
3.71,7,6.054028
1.08,3,6.059699
0.8,5,6.067215
1.0,3,6.072581
1.69,5,6.08092
2.31,5,6.089186
1.51,5,6.097929
2.52,5,6.108234
1.95,5,6.116611
2.05,6,6.126764
2.04,4,6.134512
1.8,4,6.141861
3.22,7,6.154113
2.75,7,6.163011
3.41,7,6.171488
2.21,7,6.185551
1.66,5,6.1953
1.81,6,6.206733
2.25,7,6.217176
0.6,4,6.22117
2.81,7,6.227825
0.98,3,6.230767
2.13,4,6.235583
0.69,3,6.238674
0.76,4,6.242656
2.72,7,6.249659
0.98,4,6.255023
1.62,4,6.260042
4.17,9,6.271597
2.52,6,6.280238
3.5,6,6.287822
2.73,5,6.2943
1.75,6,6.301604
0.47,3,6.307144
1.12,4,6.313174
1.78,6,6.320295
2.65,6,6.62835
1.34,4,6.636755
1.74,5,6.645064
2.74,6,6.654932
2.7,6,6.664549
4.81,8,6.676475
1.77,5,6.683594
1.07,4,6.689365
1.3,4,6.695092
1.19,4,6.700556
2.66,5,6.707687
1.71,4,6.712816
3.0,7,6.721584
1.92,7,6.731932
3.27,6,6.74284
2.5,5,6.750951
1.85,4,6.755834
1.53,4,6.76016
4.24,8,6.770641
1.73,6,6.778775
1.68,6,6.786342
2.13,6,6.793584
0.57,3,6.797602
2.93,5,6.805551
1.78,4,6.81269
2.47,6,6.824222
3.17,7,6.834714
1.29,4,6.844112
5.46,9,6.855788
2.12,5,6.861336
1.01,6,6.867703
2.8,7,6.876575
2.92,7,6.885576
1.19,4,6.890328
2.17,6,6.896575
1.43,4,6.902046
0.99,3,6.905458
3.74,6,6.912163
2.43,6,6.917786
0.87,5,6.922859
1.73,6,6.928653
2.74,6,6.934193
2.72,9,6.943114
3.48,5,6.947811
3.58,8,6.956855
3.45,5,6.964509
2.39,6,7.27475
1.79,4,7.283185
1.42,4,7.290224
1.59,4,7.296325
1.77,4,7.301081
2.49,6,7.31056
3.08,5,7.317574
2.8,5,7.324793
4.96,9,7.3391
4.61,7,7.352019
0.72,4,7.359384
0.39,4,7.366217
