#{"t_start": 1774870328.9385562, "env_id": "None"}
r,l,t
1.95,4,0.025734
4.52,7,0.045092
4.23,7,0.064049
7.62,10,0.093579
3.81,7,0.116189
4.27,7,0.135183
6.8,8,0.156626
2.93,5,0.170348
3.3,7,0.188324
3.1,6,0.209811
5.57,10,0.299354
4.95,7,0.318155
4.26,7,0.336284
4.11,9,0.363031
6.15,7,0.382515
7.98,9,0.407803
7.25,12,0.434387
6.41,8,0.458088
4.04,5,0.472072
4.85,7,0.489162
2.64,5,0.502824
4.94,9,0.52199
4.93,11,0.543589
4.14,6,0.555005
3.97,7,0.571978
5.02,9,0.590803
3.45,6,0.604958
2.35,5,0.617129
2.94,5,0.630215
6.59,7,0.647443
3.99,7,0.66782
5.51,10,0.693351
4.1,7,0.709511
3.56,6,0.723324
4.7,12,0.747434
3.5,6,0.760092
2.52,7,0.775419
1.34,3,0.783042
3.44,6,0.79676
2.76,6,0.810106
1.86,6,0.823732
3.49,6,0.838222
4.23,7,0.857405
2.07,6,0.876303
2.95,7,0.893158
5.21,6,0.906444
4.5,8,0.926656
3.98,6,0.940896
3.78,6,0.954742
3.79,7,0.972374
7.02,12,0.998434
4.07,8,1.017381
4.61,7,1.033979
2.91,7,1.0512
5.03,8,1.071913
1.29,5,1.083984
4.91,8,1.100095
2.98,7,1.115496
3.19,7,1.1301
2.25,4,1.13789
5.43,11,1.164436
5.64,10,1.200879
3.2,6,1.216513
5.61,9,1.239305
2.88,5,1.252912
4.06,6,1.270618
3.37,7,1.289227
4.63,6,1.303941
3.37,8,1.321855
4.23,8,1.339552
4.2,9,1.358066
2.76,5,2.191222
4.59,8,2.21312
5.08,9,2.23485
3.51,6,2.250765
5.77,7,2.269198
3.66,6,2.284539
4.8,7,2.301536
8.21,14,2.355072
4.21,5,2.376395
4.27,6,2.399977
3.37,6,2.424707
7.16,13,2.462907
3.94,7,2.496264
3.72,7,2.523429
2.76,6,2.54705
2.76,5,2.564522
6.34,12,2.601097
2.38,5,2.621132
3.16,5,2.640918
4.97,12,2.690466
2.22,5,2.704498
7.15,11,2.738374
4.91,9,2.779181
6.2,10,2.818666
7.16,10,2.85202
4.04,7,2.86923
3.79,8,2.886457
4.74,12,2.934114
4.07,8,2.965889
2.38,4,2.983159
4.26,6,3.006646
4.97,7,3.022201
1.51,5,3.034871
5.82,9,3.055869
4.05,7,3.07188
6.43,10,3.097728
5.34,10,3.123406
4.82,9,3.146372
3.7,7,3.165212
6.4,9,3.184175
5.06,9,3.198707
5.04,10,3.213652
3.97,7,3.224093
8.13,10,3.239987
2.53,5,3.250468
5.15,9,3.272227
4.69,9,3.297776
5.02,8,3.318951
2.14,6,3.333785
5.71,8,3.34959
3.03,7,3.363472
4.37,8,3.378961
4.85,7,3.394767
3.65,7,3.406981
2.57,5,3.419244
4.59,9,3.437217
3.78,6,3.450102
4.81,6,3.466001
4.73,8,3.482515
4.47,9,3.500487
2.59,9,3.519919
4.44,6,3.536118
4.17,6,3.553102
1.83,4,3.562036
3.08,5,3.573513
4.47,8,3.597176
5.08,9,4.399733
4.39,8,4.422755
4.84,9,4.447721
3.36,6,4.463753
6.67,9,4.48525
4.64,8,4.506237
5.5,9,4.529426
5.8,10,4.556066
6.02,10,4.581853
6.28,10,4.60982
6.3,11,4.639306
3.7,9,4.663476
5.63,9,4.689086
5.23,8,4.713116
9.95,14,4.754344
8.46,13,4.79276
6.75,9,4.818465
5.28,8,4.843535
6.59,10,4.86917
3.81,7,4.886755
6.14,10,4.915158
5.8,10,4.938859
5.23,7,4.95613
2.6,4,4.966702
8.0,12,4.99488
4.02,6,5.009591
4.18,8,5.025636
5.41,8,5.042608
5.62,11,5.071759
5.0,9,5.093777
6.56,10,5.119308
8.3,11,5.147057
5.06,9,5.168544
2.79,5,5.179509
2.05,7,5.198887
4.81,8,5.221018
3.19,5,5.234765
3.07,5,5.246984
2.89,5,5.260226
4.54,8,5.281554
2.75,5,5.294022
5.74,8,5.315117
2.98,5,5.327434
5.29,7,5.346393
5.15,10,5.373884
5.37,10,5.401007
6.92,13,5.430346
3.82,6,5.44125
4.63,9,5.458148
4.83,8,5.473928
5.49,9,5.493734
4.49,8,5.513119
4.37,9,5.534633
3.16,5,5.546735
6.07,9,5.566468
4.53,8,5.585714
6.4,9,5.609258
8.55,12,5.636757
4.73,7,5.658318
3.36,6,5.670512
9.9,12,5.699596
5.79,7,6.570337
2.3,6,6.582153
7.81,11,6.611257
3.84,10,6.635573
6.27,11,6.660895
4.34,6,6.673358
7.07,11,6.700339
6.92,11,6.728377
0.37,5,6.740766
3.67,7,6.75959
5.21,9,6.782366
6.45,11,6.81288
3.99,7,6.830448
4.6,8,6.848199
5.02,7,6.861405
5.58,9,6.88178
3.57,7,6.900789
6.37,9,6.923322
6.82,10,6.947078
4.15,7,6.961248
5.16,8,6.97839
4.75,8,7.000873
7.63,11,7.028104
5.24,7,7.045531
8.52,11,7.076779
6.5,9,7.092986
4.1,7,7.109538
5.64,9,7.128412
2.16,3,7.13558
4.41,8,7.154597
5.5,8,7.172923
2.53,5,7.184405
3.93,8,7.200838
5.88,7,7.214101
5.71,8,7.22993
4.95,12,7.249668
4.14,7,7.263914
7.52,10,7.284649
1.52,6,7.299054
6.01,11,7.32512
5.4,9,7.340887
7.32,10,7.365613
7.13,12,7.396041
4.35,8,7.419649
6.44,9,7.444011
6.83,10,7.469843
6.73,9,7.491912
8.82,14,7.528774
3.7,6,7.5419
5.73,9,7.559312
7.66,9,7.576067
3.03,5,7.586149
5.02,10,7.609585
6.84,11,7.638379
6.09,10,7.70747
8.63,15,7.745902
5.31,7,7.763203
8.53,10,7.788649
9.05,12,8.63719
2.01,4,8.648254
3.5,6,8.664186
3.37,5,8.677439
7.4,11,8.70835
5.42,8,8.732286
5.84,8,8.755139
5.74,9,8.77563
3.05,6,8.78938
1.66,4,8.799294
9.07,12,8.83811
6.06,12,8.873623
3.14,6,8.890741
10.7,14,8.931149
2.85,5,8.947994
9.2,12,8.980165
5.87,9,9.007062
4.48,8,9.032016
7.67,10,9.061957
3.08,5,9.077149
5.34,10,9.106432
3.89,7,9.125492
8.9,12,9.155545
4.09,7,9.177675
5.95,8,9.20358
6.44,9,9.229263
3.27,7,9.246655
4.98,7,9.265857
7.5,10,9.294159
5.62,9,9.318801
2.33,5,9.331703
6.87,10,9.358475
3.53,7,9.376044
2.08,4,9.386233
4.29,9,9.412971
3.29,5,9.426406
3.9,7,9.444362
5.57,10,9.469746
3.28,5,9.483836
