#{"t_start": 1774871475.6631212, "env_id": "None"}
r,l,t
1.8,6,0.032002
0.79,4,0.041713
3.7,9,0.064269
2.74,5,0.076955
4.98,10,0.10185
4.25,8,0.132426
1.56,5,0.144789
3.39,6,0.159003
1.15,6,0.199277
2.39,6,0.216447
4.53,9,0.242402
3.09,7,0.260438
3.46,7,0.278933
2.66,8,0.303765
2.28,6,0.319871
1.76,5,0.332538
2.78,7,0.351062
5.01,11,0.378718
3.61,8,0.613348
2.0,6,0.628462
3.42,7,0.644575
3.17,7,0.662904
4.79,8,0.684528
2.39,3,0.693115
4.53,10,0.720894
3.49,7,0.739682
2.37,6,0.755398
4.11,7,0.772961
2.97,6,0.7917
1.66,6,0.810026
2.38,8,0.837128
2.56,6,0.851243
2.78,6,0.866218
2.65,8,0.890231
2.82,8,0.912709
3.23,5,0.925896
3.52,9,0.950132
2.45,6,1.188071
2.65,7,1.207952
4.48,8,1.227792
5.48,11,1.256619
5.69,9,1.279126
2.76,7,1.29483
2.11,5,1.304993
2.99,7,1.318157
3.3,8,1.33323
2.65,6,1.345479
3.43,7,1.358912
4.2,8,1.373578
5.78,11,1.394486
5.7,10,1.413562
5.54,10,1.434186
2.73,5,1.444258
2.7,5,1.644801
4.21,9,1.666581
3.4,7,1.684006
3.35,7,1.703375
3.4,6,1.720055
3.78,7,1.739111
4.61,7,1.757157
2.11,7,1.776947
2.74,5,1.789096
1.58,4,1.797873
5.66,9,1.81788
3.02,7,1.831994
1.26,4,1.839935
5.44,12,1.863001
3.79,6,1.875137
2.39,4,1.883429
2.07,4,1.891485
3.35,7,1.905898
5.35,10,1.925904
5.74,9,2.115296
4.49,7,2.128439
6.59,13,2.153466
1.35,4,2.160922
1.98,5,2.170623
3.04,7,2.1844
3.57,6,2.196546
3.64,7,2.210185
2.55,6,2.222323
5.99,10,2.241989
3.86,6,2.254306
2.3,5,2.264363
4.83,10,2.284564
2.25,4,2.293089
5.98,8,2.3093
4.42,8,2.325323
3.1,6,2.337579
2.99,6,2.350298
1.04,4,2.363895
4.61,9,2.609786
3.51,7,2.628132
4.19,8,2.651565
5.5,9,2.678201
2.93,8,2.700453
2.16,5,2.714577
3.88,5,2.729582
2.15,6,2.766042
3.63,7,2.787571
1.87,4,2.798885
2.45,5,2.815109
5.48,10,2.845472
2.54,5,2.859136
4.27,7,2.878998
1.9,5,2.893136
5.7,11,2.922498
2.78,5,2.935121
3.18,5,2.948637
1.74,7,2.966412
3.91,10,3.199515
2.63,5,3.212875
6.2,11,3.240638
4.5,10,3.266937
5.41,11,3.293607
4.35,7,3.310904
6.58,10,3.334981
2.3,5,3.349245
4.21,10,3.373996
2.58,6,3.389194
3.14,7,3.406363
2.64,7,3.424528
5.12,10,3.453782
2.86,7,3.470747
3.28,7,3.488214
3.35,7,3.706171
2.47,6,3.721675
4.65,8,3.742894
6.5,10,3.768806
4.89,8,3.78838
5.44,10,3.812068
3.17,8,3.833133
3.02,5,3.845158
3.03,7,3.863466
3.74,8,3.884239
3.17,8,3.902763
3.79,9,3.925019
4.56,8,3.943785
2.26,6,3.960229
2.75,6,3.975466
4.44,7,3.991453
2.27,7,4.007427
2.41,6,4.021837
2.64,7,4.246167
4.65,9,4.270364
3.43,6,4.286155
4.17,9,4.310142
3.12,11,4.342568
2.89,7,4.363592
5.64,12,4.392668
4.73,8,4.412078
4.72,6,4.428531
4.97,9,4.452299
4.08,7,4.473711
2.58,5,4.487614
3.54,9,4.513758
5.19,11,4.544915
5.07,8,4.569548
3.44,7,4.899421
1.07,5,4.913167
2.74,5,4.926355
3.1,8,4.946729
2.23,6,4.963087
2.93,9,4.986903
3.91,8,5.008568
2.4,5,5.021052
2.6,7,5.037997
5.32,8,5.057143
3.48,8,5.077492
2.03,7,5.094871
3.75,11,5.192801
2.03,5,5.213581
4.51,11,5.249173
1.71,5,5.25931
1.88,5,5.272984
1.64,3,5.281099
4.05,7,5.298551
4.61,10,5.542352
5.26,11,5.570745
4.69,6,5.586554
4.16,8,5.607404
2.24,5,5.621121
2.13,6,5.637565
5.07,10,5.6594
6.23,10,5.679327
2.01,4,5.68905
2.14,6,5.702479
2.31,6,5.71885
1.29,4,5.729557
2.21,5,5.742742
3.58,9,5.768153
1.52,6,5.784284
4.87,7,5.809311
4.42,8,5.829453
1.44,6,5.845907
2.75,7,6.075931
4.67,7,6.09296
5.3,10,6.119322
3.55,5,6.133216
3.32,8,6.155374
2.84,7,6.17221
4.23,7,6.18936
2.47,6,6.204576
2.09,6,6.219497
4.03,6,6.234035
5.49,10,6.260499
4.4,7,6.276776
4.4,7,6.292882
3.82,7,6.309946
2.99,6,6.326697
3.99,8,6.34825
2.52,5,6.359285
4.12,9,6.381918
5.09,10,6.599859
3.2,9,6.619098
2.22,6,6.631399
5.64,10,6.653854
3.13,7,6.674568
0.83,3,6.683218
3.23,8,6.704692
3.36,7,6.722751
3.98,8,6.743387
3.78,7,6.762975
4.24,7,6.783239
1.98,4,6.795939
6.11,10,6.822054
4.3,9,6.846314
5.5,10,6.874528
4.01,8,6.896399
2.86,5,6.909588
3.63,5,7.144418
5.19,10,7.173661
6.55,10,7.20004
5.81,12,7.229953
3.94,7,7.246763
5.54,9,7.26916
2.0,7,7.286618
3.31,7,7.303136
4.41,8,7.320077
3.43,7,7.337261
4.83,9,7.360509
3.57,9,7.38597
1.84,6,7.402017
4.4,9,7.425693
4.87,9,7.449794
5.41,9,7.727914
3.94,8,7.750446
2.06,5,7.764429
3.94,8,7.787556
2.41,6,7.804862
4.16,8,7.826728
3.64,6,7.843814
3.75,6,7.860967
3.47,9,7.887564
5.29,9,7.913775
4.13,6,7.929321
4.86,10,8.01494
4.55,8,8.037611
2.79,6,8.053945
4.47,8,8.076219
4.44,8,8.098162
