#{"t_start": 1774871187.891086, "env_id": "None"}
r,l,t
2.36,4,0.021058
2.75,6,0.033119
2.53,7,0.04651
2.12,5,0.055758
2.17,7,0.068714
4.56,8,0.083768
4.36,8,0.098929
3.62,8,0.113789
2.69,8,0.128631
2.96,7,0.141119
3.64,11,0.160257
1.38,4,0.166992
2.23,4,0.173849
3.85,7,0.186212
1.76,6,0.196333
3.63,9,0.215739
3.29,8,0.230176
2.27,7,0.242367
3.35,7,0.442282
6.0,10,0.464121
2.22,7,0.476053
2.79,5,0.485582
3.61,10,0.504595
1.43,4,0.513624
3.57,8,0.528652
2.85,5,0.535812
3.34,6,0.545448
3.39,9,0.559493
2.33,7,0.570177
2.5,5,0.5784
4.44,9,0.591631
3.67,12,0.610251
3.93,12,0.62782
1.76,6,0.636511
3.63,8,0.648823
4.68,7,0.819876
4.72,9,0.836637
2.8,6,0.85025
2.69,5,0.861681
2.73,6,0.872036
3.9,5,0.881316
3.51,7,0.895372
2.78,7,0.90729
2.14,5,0.914498
1.12,5,0.923097
2.86,7,0.933901
5.42,8,0.945682
4.88,8,0.958248
2.21,5,0.965774
5.66,9,0.980237
2.52,5,0.988503
3.56,7,0.999534
4.69,9,1.013422
2.4,4,1.019648
3.99,8,1.185286
2.78,7,1.199997
1.84,5,1.209656
4.48,9,1.230567
5.02,9,1.252696
2.74,7,1.270339
3.53,7,1.286883
3.48,4,1.294787
6.01,10,1.312807
2.06,4,1.322039
6.41,12,1.351155
2.34,6,1.366813
4.62,9,1.389856
1.98,4,1.40035
5.12,10,1.427104
3.64,7,1.444458
1.67,7,1.461387
3.1,7,1.474662
1.49,5,1.650465
3.74,7,1.664349
3.2,6,1.673983
6.23,10,1.688943
1.47,5,1.696315
3.02,7,1.706571
2.92,7,1.716939
2.12,5,1.723819
2.28,7,1.734185
3.28,8,1.745176
3.31,6,1.75363
1.63,5,1.761023
3.93,8,1.772454
3.16,8,1.783876
2.62,6,1.793362
1.74,4,1.800288
6.26,10,1.814624
3.27,7,1.824569
3.5,7,1.834303
5.13,10,1.996585
5.06,7,2.011424
4.67,7,2.027534
4.61,9,2.048178
4.16,6,2.062488
2.82,8,2.083683
4.11,7,2.095509
2.46,7,2.130289
4.01,8,2.15348
2.82,7,2.172978
3.6,5,2.187049
3.84,8,2.209252
1.76,4,2.220427
4.31,9,2.244815
3.84,9,2.269181
3.7,8,2.2916
3.1,6,2.30982
2.38,6,2.527877
5.69,10,2.546587
4.07,8,2.562354
2.45,5,2.572534
5.26,9,2.587629
4.14,10,2.605825
3.79,10,2.631013
4.43,8,2.649728
1.43,5,2.659937
1.8,5,2.668739
5.77,10,2.690179
2.21,3,2.697836
3.72,7,2.715966
5.62,9,2.735992
