#{"t_start": 1774870609.8164628, "env_id": "None"}
r,l,t
2.88,9,0.037377
3.82,7,0.055856
2.25,6,0.072943
5.76,8,0.093548
3.67,6,0.111585
3.16,9,0.135531
5.39,9,0.16036
3.21,8,0.182114
3.51,7,0.200916
5.36,10,0.228769
2.42,4,0.238204
4.95,9,0.260359
3.57,7,0.274169
4.15,7,0.286165
5.4,10,0.307756
4.94,9,0.329738
4.58,6,0.345277
4.69,11,0.373744
5.42,9,0.392334
2.77,7,0.404292
2.63,6,0.41797
3.09,7,0.436735
4.55,9,0.460743
3.74,9,0.479137
3.85,9,0.496155
4.87,9,0.516338
3.33,6,0.529218
3.89,6,0.541473
4.21,9,0.55994
4.97,8,0.576033
2.87,6,0.587963
4.4,9,0.606319
4.0,7,0.620555
2.86,5,0.630472
4.17,8,0.645525
2.86,5,0.655842
5.51,10,0.675455
6.59,10,0.6946
2.23,6,0.707516
2.83,7,0.723307
2.56,5,0.734633
3.25,5,0.745021
2.6,6,0.757212
2.99,7,0.77096
4.29,10,0.790776
4.25,8,0.807341
1.42,5,0.81757
1.43,3,0.823895
1.88,6,0.836311
3.66,7,0.849776
3.94,7,0.863147
3.32,7,0.876015
4.54,8,0.891047
7.55,11,0.912442
4.24,8,0.928534
5.31,9,0.94721
2.52,6,0.958906
3.9,8,0.974101
2.82,4,0.981983
3.17,7,0.995581
1.67,4,1.003861
3.64,6,1.015882
4.02,7,1.029381
3.9,8,1.044754
1.41,5,1.05479
2.78,7,1.069284
1.6,5,1.079236
5.22,8,1.095172
4.12,8,1.111291
3.1,6,1.122416
3.22,8,1.80287
6.09,11,1.823664
7.45,15,1.851939
2.89,6,1.863703
3.29,6,1.875525
6.1,11,1.896681
4.0,7,1.910048
4.3,7,1.926644
3.05,6,1.940344
4.93,6,1.953533
4.11,10,2.021317
2.04,5,2.050433
3.91,8,2.067913
5.03,8,2.088238
5.89,10,2.112808
5.83,10,2.131373
7.62,11,2.157755
3.67,6,2.171009
4.84,7,2.185892
5.37,7,2.201921
7.01,11,2.224987
6.7,12,2.251759
3.42,8,2.272575
3.0,5,2.282434
3.08,8,2.301349
3.02,6,2.315237
5.86,9,2.334412
4.06,8,2.351184
4.42,8,2.368439
3.06,6,2.383241
3.47,6,2.39707
3.74,5,2.407199
3.72,8,2.422643
7.38,14,2.451163
5.85,9,2.470663
4.67,8,2.484365
2.93,6,2.495803
4.62,6,2.505059
6.17,10,2.523807
3.32,6,2.533237
2.67,7,2.543898
6.89,12,2.562142
2.81,5,2.571016
6.55,11,2.588879
8.03,12,2.60727
4.79,7,2.618814
7.04,10,2.634587
3.99,9,2.649427
5.28,10,2.666169
6.0,9,2.680823
1.77,5,2.689393
7.46,11,2.708041
4.19,8,2.721118
4.23,8,2.734466
4.98,10,2.752057
4.29,7,2.767447
6.25,12,2.796632
2.93,6,2.810041
3.82,9,2.832575
3.65,6,2.846854
3.83,7,2.864161
4.04,7,2.883112
6.79,13,3.752851
4.17,8,3.773381
5.87,9,3.797807
4.03,7,3.815444
7.27,11,3.844807
4.21,8,3.865252
5.72,9,3.890088
4.71,8,3.910847
9.62,14,3.948334
3.85,6,3.963224
2.67,5,3.975236
4.95,7,3.992917
4.51,9,4.014283
3.37,8,4.034899
5.48,8,4.055839
4.78,7,4.075288
7.27,9,4.093788
3.6,7,4.105313
3.18,6,4.117488
7.78,10,4.14189
6.63,9,4.164533
4.89,10,4.1924
3.46,6,4.208425
3.74,6,4.225256
4.3,8,4.248123
7.24,11,4.276566
4.06,8,4.298209
6.78,11,4.32585
7.92,11,4.353393
5.19,7,4.370718
4.56,8,4.387776
8.22,15,4.421424
3.98,7,4.437882
3.96,6,4.451601
5.83,8,4.469776
6.33,8,4.486236
4.23,7,4.500883
4.01,7,4.518437
2.43,6,4.535267
4.83,9,4.553291
8.45,12,4.57399
6.93,10,4.593496
8.02,11,4.614107
8.05,12,4.638257
3.0,4,4.646389
5.58,10,4.66544
4.54,7,4.678537
10.0,14,4.70562
6.7,10,4.725557
3.75,8,4.740645
2.72,5,4.750133
2.84,6,4.76155
4.43,10,4.780539
5.01,7,4.795542
5.36,10,4.814209
3.53,7,4.828471
2.44,5,4.838685
6.17,8,4.854052
2.29,6,4.865095
8.88,15,4.892275
3.54,6,5.58484
7.62,10,5.610194
7.96,11,5.634605
7.91,11,5.664236
5.75,8,5.685743
4.86,8,5.706311
7.22,13,5.734553
4.23,6,5.745024
4.05,6,5.753931
2.92,6,5.768217
10.67,15,5.861744
4.25,7,5.875554
3.76,8,5.889816
7.32,13,5.914008
5.13,6,5.928844
4.1,9,5.947273
9.01,11,5.968422
3.6,6,5.982974
8.4,10,6.006858
6.84,11,6.030801
3.91,7,6.043197
9.22,13,6.065026
7.59,12,6.087096
7.26,10,6.109543
7.08,11,6.130146
12.43,17,6.163403
1.63,4,6.170954
8.45,12,6.201557
2.83,6,6.214876
6.02,13,6.246051
4.04,9,6.265133
5.73,8,6.280668
5.26,7,6.297996
5.55,9,6.318969
7.15,12,6.348092
4.84,9,6.368918
5.36,9,6.392367
5.57,9,6.413515
6.89,10,6.439587
7.81,11,6.466699
9.26,13,6.501009
6.96,10,6.525948
5.61,9,6.548621
5.92,9,6.571191
4.25,9,6.592799
7.79,11,6.621727
7.78,12,6.648752
11.41,15,6.71524
4.66,9,6.729396
4.75,7,6.739375
4.26,8,6.751456
4.26,9,6.764606
6.0,8,6.776954
6.04,8,7.495171
4.77,6,7.511922
9.23,14,7.54195
9.14,14,7.574409
3.78,8,7.590463
11.26,16,7.620493
6.39,11,7.641555
9.36,12,7.667773
9.07,13,7.70228
5.82,8,7.716671
6.28,11,7.738261
9.86,15,7.764147
7.1,10,7.781579
12.42,16,7.809744
9.55,13,7.837324
6.07,8,7.854251
7.92,11,7.87974
8.63,10,7.903329
11.48,15,7.941392
9.38,13,7.970408
7.47,11,7.99332
6.61,9,8.011382
4.22,7,8.028651
7.62,10,8.048919
7.87,11,8.076159
7.36,12,8.10578
3.56,8,8.127215
12.9,19,8.177064
8.77,14,8.211826
8.77,14,8.246604
7.78,12,8.270329
5.14,7,8.287629
8.55,11,8.314084
3.71,8,8.335492
9.97,14,8.366083
4.03,8,8.384493
7.9,12,8.410357
4.67,9,8.43228
6.28,12,8.46113
10.09,15,8.498814
4.82,9,8.521611
11.17,15,8.558685
3.7,8,8.577564
7.31,10,8.600081
7.58,10,8.623022
7.23,10,9.363302
8.05,10,9.386469
7.61,10,9.406023
11.21,15,9.439662
9.29,11,9.471078
8.2,12,9.506842
7.76,11,9.535233
6.02,10,9.555224
10.61,14,9.581731
15.92,22,9.61418
5.77,10,9.63322
9.12,13,9.659482
6.45,10,9.679302
13.21,17,9.711683
13.2,18,9.745379
13.02,19,9.791131
3.37,6,9.805241
9.88,14,9.834452
6.86,9,9.85043
7.49,9,9.867053
12.09,18,9.902432
4.33,10,9.924936
7.74,12,9.952757
11.65,16,9.990872
8.48,12,10.015966
10.89,14,10.043152
8.58,12,10.071427
6.18,9,10.09151
7.44,10,10.112933
6.18,10,10.135644
11.16,14,10.170076
10.15,14,10.204408
13.08,18,10.25005
7.42,10,10.270126
7.89,11,10.295336
12.17,17,10.33765
8.62,13,10.36784
8.61,12,10.394691
6.96,9,10.417451
7.6,11,10.449449
13.22,17,10.49292
8.69,10,11.317776
13.35,17,11.362382
8.45,14,11.397814
8.37,12,11.426564
10.89,14,11.457573
4.41,7,11.4714
5.57,9,11.492583
10.15,15,11.531965
5.76,9,11.554328
10.12,15,11.585867
8.63,12,11.620492
10.95,16,11.663482
7.62,11,11.687303
14.17,18,11.727238
14.43,17,11.766562
15.23,20,11.811669
7.59,11,11.835845
7.11,11,11.861071
5.97,10,11.90058
18.12,23,11.966161
7.97,12,12.063257
13.84,17,12.213758
9.04,11,12.275467
9.06,12,12.321032
14.48,21,12.388195
8.92,14,12.433434
14.22,19,12.537285
5.15,7,12.568827
8.13,13,12.616885
8.93,13,12.670612
6.75,10,12.759349
7.39,11,12.815286
8.98,13,12.864751
8.37,13,12.92413
16.73,22,12.985672
10.13,13,13.014954
9.19,12,13.040408
15.95,19,14.04136
10.2,14,14.084078
14.33,17,14.13373
13.67,17,14.188213
11.51,15,14.231849
10.19,12,14.265603
20.42,27,14.352275
9.47,13,14.387828
6.31,11,14.417574
8.46,10,14.450551
12.13,15,14.497474
13.36,16,14.5414
8.49,11,14.573256
14.91,17,14.622278
5.51,8,14.644875
