#{"t_start": 1774948021.0591218, "env_id": "None"}
r,l,t
7.21,13,0.042576
3.16,5,0.053443
2.29,7,0.06735
1.49,5,0.077232
4.4,11,0.103816
3.73,9,0.123902
2.54,6,0.139517
3.91,9,0.161049
4.49,8,0.179422
3.12,9,0.1996
1.56,4,0.209943
3.48,8,0.226811
3.57,6,0.238275
1.92,4,0.24529
4.31,8,0.262942
4.89,14,0.295043
2.84,5,0.307173
3.04,5,0.319256
3.06,6,0.332897
4.22,11,0.357777
6.33,13,0.385495
3.93,11,0.412177
3.08,6,0.426518
4.52,8,0.447092
4.29,9,0.470672
4.3,10,0.495523
4.44,10,0.521284
2.95,7,0.538966
3.15,6,0.55459
3.63,7,0.57275
2.09,5,0.585707
2.69,7,0.603694
2.09,5,0.615936
3.43,7,0.63407
3.62,8,0.655579
2.93,6,0.671715
3.47,10,0.699051
4.05,10,0.726851
2.25,7,0.747219
2.94,6,0.764219
4.77,9,0.789232
3.78,6,0.805108
2.99,7,0.825583
3.79,9,0.852042
1.61,5,0.867826
4.51,11,0.902704
5.43,9,0.931988
1.55,6,0.955662
2.35,8,0.996942
3.43,9,1.02556
2.47,6,1.047483
2.2,6,1.070636
3.24,6,1.08957
3.42,7,1.1231
4.7,10,1.152703
1.43,7,1.175251
4.52,11,1.210984
1.96,5,1.226066
2.73,6,1.263258
3.59,10,1.308729
2.74,5,1.330202
3.04,7,1.359737
3.92,8,1.390074
3.4,10,1.423158
4.11,9,1.470908
3.08,6,1.490748
3.98,7,2.444811
3.5,8,2.466547
2.06,4,2.477737
4.43,11,2.506702
3.56,8,2.528591
3.22,8,2.549345
4.13,8,2.567484
7.44,15,2.604192
3.73,7,2.623617
6.73,15,2.662714
3.17,9,2.685311
2.99,6,2.699969
3.82,12,2.731061
4.33,5,2.74557
1.02,5,2.759698
5.83,9,2.78537
5.41,10,2.806993
4.01,8,2.828844
4.1,9,2.854835
2.39,5,2.869268
4.61,12,2.901935
4.16,8,2.92291
4.1,8,2.94478
5.48,12,2.974979
3.58,11,3.003574
3.89,9,3.027273
3.62,9,3.051636
4.48,8,3.073266
2.61,6,3.088957
3.93,8,3.109188
4.66,11,3.136464
6.37,11,3.162689
4.25,10,3.185187
4.85,11,3.210855
2.08,6,3.22633
3.39,8,3.243116
4.5,11,3.262625
4.63,9,3.281995
5.35,9,3.300669
3.72,8,3.319409
4.2,9,3.350304
3.36,7,3.367584
4.25,8,3.386116
3.81,8,3.406646
7.95,13,3.441077
4.0,10,3.466478
4.29,12,3.497285
3.68,8,3.517843
4.21,10,3.544634
5.24,10,3.569689
3.92,9,3.593083
3.74,8,3.615285
3.26,7,3.62927
4.73,10,3.652001
8.99,17,3.690359
5.65,13,3.715292
2.25,5,4.450924
3.23,7,4.46449
3.42,9,4.482376
4.75,7,4.495622
4.57,8,4.510634
4.69,7,4.523177
3.49,6,4.535298
3.07,6,4.546677
2.63,6,4.559219
3.45,6,4.570518
2.33,5,4.579604
3.67,6,4.591001
2.95,6,4.601614
3.51,8,4.615359
2.97,5,4.62427
5.95,11,4.64616
2.42,4,4.654245
4.36,8,4.668902
3.87,11,4.689328
3.58,8,4.703769
5.43,10,4.722227
5.17,8,4.737628
4.42,8,4.753032
4.71,9,4.769215
5.76,12,4.789572
6.26,10,4.807976
4.19,9,4.824478
4.75,8,4.839782
1.97,6,4.851612
4.92,8,4.866497
3.02,7,4.880006
2.58,7,4.893707
1.21,5,4.90383
5.44,9,4.921466
4.61,8,4.938663
5.38,10,4.958305
3.6,8,4.973583
4.93,11,4.995984
6.67,12,5.018905
3.49,9,5.036024
3.17,8,5.050749
3.03,7,5.065085
4.31,9,5.081951
5.19,8,5.096957
3.06,8,5.111923
3.78,8,5.126429
3.69,6,5.138501
1.96,5,5.148012
4.25,7,5.161429
2.64,6,5.172825
6.18,13,5.197171
6.22,11,5.216323
3.65,7,5.229821
4.29,9,5.248529
4.62,9,5.26583
4.33,8,5.281159
1.16,4,5.289282
6.42,10,5.308725
5.55,12,5.330992
2.04,5,5.341508
3.28,8,5.35624
4.07,8,5.370526
1.4,5,5.380078
3.85,6,5.390825
3.24,7,5.402833
6.17,11,6.090923
5.65,11,6.114321
4.03,7,6.127991
3.27,6,6.139717
2.74,8,6.155829
2.76,4,6.16319
7.04,14,6.188164
1.3,3,6.193866
2.95,6,6.204914
3.27,8,6.219723
3.9,7,6.233629
2.8,5,6.244554
5.2,8,6.260211
4.87,11,6.281492
3.1,5,6.29142
5.59,14,6.319426
5.43,9,6.337231
2.11,4,6.346914
4.59,9,6.365346
4.67,9,6.384534
4.67,8,6.401249
3.83,6,6.413412
5.99,11,6.433391
2.07,5,6.442867
7.02,10,6.463165
3.45,7,6.476613
3.07,8,6.491787
3.44,9,6.508009
3.54,8,6.522532
3.16,6,6.533124
1.59,4,6.54071
5.26,9,6.558779
4.63,9,6.57529
3.36,9,6.592397
2.97,5,6.601696
4.35,9,6.618178
7.77,12,6.639025
5.16,10,6.65823
5.25,9,6.674825
5.41,10,6.693307
2.33,6,6.703912
3.53,7,6.716722
4.43,9,6.733054
2.14,7,6.746633
1.89,4,6.754178
3.03,8,6.768473
4.71,10,6.786365
3.62,8,6.801837
5.02,13,6.826166
4.48,8,6.84077
5.06,9,6.859045
4.02,10,6.877495
3.83,9,6.894583
2.97,5,6.904011
8.2,13,6.927548
3.98,8,6.942243
2.09,5,6.952835
4.5,8,6.967439
5.4,11,7.017214
3.51,7,7.030476
3.24,7,7.043882
5.68,10,7.064191
2.94,5,7.073321
3.43,6,7.084464
2.01,5,7.879576
3.3,6,7.894302
5.01,11,7.921332
3.57,7,7.938702
4.33,8,7.952447
3.4,7,7.965939
1.68,4,7.973906
5.92,9,7.994494
4.99,11,8.014809
5.14,8,8.034071
1.45,6,8.048182
3.75,7,8.067506
5.17,8,8.086534
3.62,7,8.100212
3.54,6,8.110009
5.65,10,8.127429
3.53,6,8.140654
2.72,5,8.151421
4.3,7,8.168004
4.06,8,8.186247
5.05,9,8.203824
3.78,7,8.219197
7.18,13,8.250436
4.82,9,8.271873
3.63,8,8.301835
3.87,8,8.369327
1.61,4,8.429336
5.69,12,8.509107
4.31,9,8.539869
3.24,7,8.56493
6.36,9,8.597698
4.34,9,8.626465
3.56,8,8.653099
5.14,12,8.695136
3.1,6,8.714937
4.6,10,8.746745
3.93,7,8.768918
5.2,10,8.801787
4.79,11,8.83657
5.4,10,8.870913
6.02,12,8.911444
4.24,7,8.934634
3.01,5,8.949288
3.86,7,8.971853
2.33,5,8.989181
4.5,8,9.015539
3.94,9,9.044084
3.18,9,9.0793
2.4,6,9.100049
8.6,13,9.13677
3.46,7,9.156897
2.64,5,9.170328
5.38,10,9.20337
4.65,9,9.236234
5.9,11,9.272448
2.73,5,9.291135
3.82,7,9.314112
4.13,8,9.339731
2.17,6,9.359093
3.53,7,9.382916
4.13,9,9.415365
2.87,6,9.435462
4.07,12,9.479225
5.71,10,10.267251
3.12,5,10.277914
4.91,7,10.293319
2.71,7,10.308028
3.14,6,10.320783
3.91,8,10.337341
5.84,10,10.358978
5.43,9,10.376721
5.05,8,10.393935
4.35,8,10.41101
6.24,10,10.432582
4.38,9,10.451528
2.4,5,10.461378
3.95,8,10.478028
6.46,10,10.498707
5.56,9,10.517
6.44,9,10.534801
5.37,9,10.55303
3.3,6,10.565015
7.86,16,10.597485
6.73,10,10.6174
4.21,10,10.637619
6.43,9,10.655559
3.62,6,10.667418
5.57,9,10.685467
5.24,10,10.705705
4.92,10,10.723919
1.01,5,10.733023
4.14,7,10.745584
2.98,6,10.756332
5.35,10,10.773364
4.03,7,10.784483
3.63,6,10.794704
3.73,7,10.807509
6.32,12,10.82937
3.41,6,10.841621
4.09,9,10.860228
2.62,5,10.870346
5.35,9,10.888884
3.3,9,10.907517
3.94,7,10.921515
5.94,9,10.939622
4.91,8,10.955368
3.72,8,10.969289
7.89,12,10.988849
5.5,9,11.00387
9.78,15,11.030051
6.49,10,11.047843
5.34,11,11.067244
4.9,8,11.081417
3.69,8,11.095845
5.19,8,11.110615
3.88,8,11.125779
6.73,13,11.150984
3.64,7,11.164537
3.7,10,11.182566
4.57,9,11.199766
3.8,7,11.212481
2.64,5,11.221489
4.96,9,11.238619
7.23,10,11.890026
3.83,10,11.908857
5.37,11,11.927408
3.58,10,11.945515
5.48,10,11.966174
4.31,9,11.988792
3.42,7,12.006732
3.88,7,12.02596
2.44,4,12.037153
3.43,6,12.052032
4.44,8,12.0737
6.08,12,12.104221
7.24,11,12.134157
6.05,11,12.163954
2.77,7,12.182836
3.03,9,12.208546
5.65,11,12.246683
7.31,12,12.28157
2.09,5,12.295779
3.74,7,12.315122
10.6,15,12.357206
2.1,6,12.371102
5.83,11,12.39809
5.09,9,12.418361
2.65,6,12.431367
3.69,9,12.455309
2.63,4,12.467501
3.16,7,12.486686
5.5,10,12.513181
5.28,11,12.537593
5.04,11,12.561589
4.42,8,12.580397
4.14,10,12.60588
4.58,10,12.632631
4.76,11,12.662374
5.45,8,12.683858
3.44,8,12.707007
3.51,5,12.720499
8.09,12,12.752004
6.33,11,12.77988
6.33,11,12.808573
4.61,7,12.827125
7.42,13,12.860415
3.13,6,12.874905
2.78,6,12.890698
5.98,12,12.923006
3.97,10,12.951269
4.75,9,12.96613
4.04,8,12.982092
5.78,12,13.015491
4.17,10,13.043404
9.73,18,13.085326
6.48,9,13.107818
8.17,12,13.137255
4.14,8,13.155513
2.64,8,13.173531
4.4,8,13.991084
3.55,6,14.005277
5.56,10,14.029953
2.29,5,14.042868
5.82,9,14.067662
3.22,7,14.084132
4.54,9,14.105383
4.82,9,14.12649
6.02,11,14.155247
4.43,8,14.17587
4.12,9,14.194977
4.49,12,14.225152
5.52,11,14.253923
3.55,7,14.272238
6.48,12,14.303555
6.06,11,14.334547
4.2,9,14.358991
3.95,7,14.378386
1.97,3,14.386009
4.87,11,14.414636
4.56,9,14.438123
4.18,8,14.45792
4.72,10,14.48494
6.4,11,14.512184
5.14,10,14.534616
3.05,6,14.54966
7.27,11,14.574236
3.21,8,14.588115
3.73,8,14.60515
4.25,8,14.62401
4.95,9,14.641558
5.69,9,14.659719
6.62,10,14.680981
3.98,8,14.694353
3.62,8,14.710686
4.59,7,14.725004
4.55,9,14.74624
4.23,9,14.762382
5.09,9,14.779734
2.74,5,14.791343
3.99,8,14.810611
4.89,8,14.831371
6.05,9,14.855643
5.79,12,14.882854
2.6,8,14.900403
