#{"t_start": 1774356305.1185174, "env_id": "None"}
r,l,t
1.03,3,0.06
2.2,4,0.061
1.93,4,0.061
2.06,4,0.062
1.91,4,0.062
1.37,5,0.062
2.56,5,0.063
1.41,4,0.063
1.73,4,0.063
3.14,7,0.064
0.97,4,0.064
1.05,4,0.065
2.51,6,0.065
0.41,3,0.065
1.34,4,0.066
2.54,7,0.066
1.31,4,0.066
1.12,4,0.067
2.2,4,0.067
2.3,4,0.067
2.07,5,0.068
2.07,4,0.068
1.47,5,0.069
1.88,3,0.074001
2.03,6,0.079005
3.34,7,0.086005
1.83,5,0.09101
1.06,5,0.094515
1.16,4,0.098515
2.88,5,0.105516
2.35,6,0.109515
0.87,4,0.113515
2.37,6,0.120516
2.07,4,0.124515
3.1,7,0.129515
1.81,5,0.136515
1.55,4,0.141522
2.04,4,0.145515
2.61,6,0.150515
2.51,7,0.159516
1.4,4,0.164515
2.34,5,0.168515
0.97,3,0.173517
3.1,6,0.178515
1.66,4,0.182521
1.98,4,0.18752
1.78,4,0.191521
2.66,6,0.202029
2.26,4,0.207029
1.38,3,0.211028
1.74,6,0.216028
1.38,4,0.220029
1.45,3,0.225028
4.63,8,0.233029
1.27,5,0.238028
2.37,5,0.243029
0.69,3,0.247029
1.2,4,0.252028
2.28,4,0.256029
3.05,8,0.265028
1.9,5,0.269028
1.21,5,0.278029
2.19,4,0.283033
2.75,6,0.288034
3.02,6,0.29655
3.04,7,0.301546
3.18,7,0.310547
3.5,7,0.320545
1.63,4,0.324543
2.0,5,0.329543
0.21,4,0.332543
2.84,5,0.338548
1.32,3,0.342543
1.86,5,0.347543
1.08,4,0.351542
1.6,5,0.358543
1.53,3,0.358543
1.07,3,0.362543
1.7,5,0.366543
2.23,5,0.374543
1.79,4,0.377543
0.81,3,0.378543
1.7,4,0.382548
1.73,5,0.389548
1.75,3,0.389548
1.29,4,0.394052
2.33,5,0.401057
1.72,6,0.406057
1.61,5,0.409057
2.92,6,0.417057
1.42,4,0.421057
1.79,4,0.425057
2.01,4,0.429057
3.39,6,0.433057
0.93,4,0.437057
2.02,5,0.444058
4.05,6,0.449057
0.74,3,0.453057
1.54,4,0.457057
3.32,7,0.465057
2.75,5,0.470057
1.51,6,0.474057
2.03,4,0.478063
4.08,8,0.486068
1.24,4,0.490068
1.57,5,0.497586
1.73,5,0.501586
1.65,4,0.505587
1.18,4,0.509587
2.91,6,0.513586
1.96,4,0.517586
2.87,6,0.525594
2.23,6,0.529587
2.93,5,0.537586
1.37,5,0.542587
3.83,7,0.549587
1.3,5,0.553586
3.43,7,0.562586
1.29,3,0.562586
4.0,8,0.571586
1.82,4,0.576586
2.38,5,0.585592
2.35,5,0.589592
2.5,5,0.594096
2.84,5,0.598101
0.66,3,0.602101
2.57,5,0.606101
2.21,4,0.6111
1.78,4,0.615101
1.62,3,0.619101
3.38,5,0.623101
1.89,4,0.6271
1.69,4,0.6311
2.6,6,0.638101
1.01,4,0.642101
1.41,6,0.646101
1.74,3,0.649101
1.55,5,0.653101
3.36,5,0.660101
2.61,5,0.6651
2.23,5,0.669101
1.81,5,0.6731
2.47,5,0.681105
1.1,4,0.685105
1.7,4,0.689105
1.36,5,0.693609
1.77,5,0.696613
2.98,6,0.705613
1.76,4,0.708613
5.02,7,0.713613
3.17,6,0.721614
1.18,3,0.725614
3.5,8,0.733613
2.2,4,0.737613
2.15,4,0.741613
1.99,5,0.745613
2.61,5,0.750614
0.46,4,0.754613
1.87,4,0.758613
4.11,7,0.766613
2.69,5,0.770613
1.73,4,0.774613
2.48,5,0.779619
2.07,5,0.787618
2.07,4,0.791618
3.22,6,0.797127
1.9,3,0.801127
2.48,5,0.805126
5.18,7,0.813127
3.56,5,0.818127
3.45,6,0.825127
1.88,4,0.829127
2.8,4,0.833127
3.18,5,0.837127
1.48,5,0.842127
2.35,7,0.849127
1.68,4,0.853127
1.3,3,0.857127
3.82,7,0.863127
3.51,7,0.872131
1.95,5,0.877127
2.32,5,0.886134
4.1,7,0.891133
5.46,8,0.900948
2.2,4,0.905663
2.74,5,0.916634
2.4,5,0.921902
2.27,4,0.927922
2.46,5,0.932928
1.68,3,0.937928
2.47,4,0.941928
3.35,5,0.946929
2.34,4,0.95193
2.87,6,0.960933
4.32,7,0.966934
3.44,6,0.975443
1.89,6,0.980448
3.0,5,0.988957
0.39,3,0.988957
2.87,5,0.996465
1.92,4,1.000464
3.03,5,1.004464
1.16,4,1.007465
2.05,5,1.011468
2.11,4,1.015469
2.35,6,1.022469
1.55,6,1.027978
0.69,4,1.031978
3.77,7,1.039978
1.3,3,1.043977
3.24,6,1.047978
1.61,4,1.051978
2.02,4,1.055978
4.03,6,1.063979
3.17,5,1.067978
1.04,4,1.071978
1.41,4,1.076978
1.43,5,1.080983
1.58,4,1.084983
1.71,5,1.088983
2.29,6,1.096491
2.87,5,1.100491
2.5,6,1.108491
1.52,3,1.109491
2.3,4,1.112491
1.12,3,1.116493
6.47,9,1.126491
2.12,5,1.133491
1.83,4,1.137491
3.14,6,1.142491
2.6,6,1.149491
5.52,10,1.158491
2.49,5,1.162491
1.78,5,1.170491
3.69,6,1.17549
5.04,8,1.183495
3.74,6,1.192495
3.0,7,1.197004
3.39,5,1.205004
2.13,6,1.210003
1.35,3,1.213004
5.34,9,1.223003
5.22,8,1.231003
2.64,5,1.236003
3.81,6,1.244003
2.69,5,1.248003
2.38,6,1.256004
3.83,7,1.261003
2.16,6,1.268004
1.91,5,1.272003
2.38,4,1.277003
3.99,6,1.284008
3.77,7,1.289007
2.79,6,1.296515
