DateTime,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage.1,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2023-01-01 00:00:00,0.0,,,919.0,1225.0,,,,,,,0.0,,,485.0,161.0,,1.0,69.0,1893.0,807.0
2023-01-01 00:15:00,0.0,,,921.0,1235.0,,,,,,,0.0,,,485.0,139.0,,1.0,70.0,1367.0,741.0
2023-01-01 00:30:00,0.0,,,922.0,1249.0,,,,,,,0.0,,,485.0,139.0,,1.0,69.0,1052.0,686.0
2023-01-01 00:45:00,0.0,,,966.0,1254.0,,,,,,,0.0,,,485.0,140.0,,1.0,68.0,1090.0,682.0
2023-01-01 01:00:00,0.0,,,999.0,1258.0,,,,,,,0.0,,,485.0,137.0,,1.0,68.0,1082.0,760.0
2023-01-01 01:15:00,0.0,,,993.0,1239.0,,,,,,,0.0,,,485.0,157.0,,1.0,69.0,1088.0,769.0
2023-01-01 01:30:00,0.0,,,994.0,1235.0,,,,,,,0.0,,,484.0,161.0,,1.0,70.0,1075.0,757.0
2023-01-01 01:45:00,0.0,,,999.0,1226.0,,,,,,,0.0,,,485.0,139.0,,1.0,69.0,1060.0,727.0
2023-01-01 02:00:00,0.0,,,991.0,1228.0,,,,,,,0.0,,,485.0,139.0,,1.0,69.0,1055.0,760.0
2023-01-01 02:15:00,0.0,,,968.0,1244.0,,,,,,,0.0,,,484.0,159.0,,1.0,67.0,1067.0,766.0
2023-01-01 02:30:00,0.0,,,953.0,1245.0,,,,,,,0.0,,,485.0,144.0,,1.0,67.0,1069.0,728.0
2023-01-01 02:45:00,0.0,,,952.0,1243.0,,,,,,,0.0,,,484.0,139.0,,1.0,68.0,1081.0,703.0
2023-01-01 03:00:00,0.0,,,950.0,1238.0,,,,,,,0.0,,,485.0,139.0,,1.0,68.0,1093.0,736.0
2023-01-01 03:15:00,0.0,,,962.0,1239.0,,,,,,,0.0,,,484.0,138.0,,1.0,68.0,1035.0,700.0
2023-01-01 03:30:00,0.0,,,972.0,1252.0,,,,,,,0.0,,,484.0,146.0,,1.0,69.0,1056.0,702.0
2023-01-01 03:45:00,0.0,,,980.0,1254.0,,,,,,,0.0,,,484.0,159.0,,1.0,69.0,1052.0,697.0
2023-01-01 04:00:00,0.0,,,910.0,1259.0,,,,,,,0.0,,,485.0,159.0,,1.0,68.0,1063.0,733.0
2023-01-01 04:15:00,0.0,,,892.0,1267.0,,,,,,,0.0,,,484.0,160.0,,1.0,68.0,1099.0,701.0
2023-01-01 04:30:00,0.0,,,887.0,1270.0,,,,,,,0.0,,,484.0,161.0,,1.0,68.0,1111.0,701.0
2023-01-01 04:45:00,0.0,,,911.0,1261.0,,,,,,,0.0,,,485.0,161.0,,1.0,69.0,1115.0,693.0
2023-01-01 05:00:00,0.0,,,901.0,1263.0,,,,,,,0.0,,,484.0,159.0,,1.0,70.0,1107.0,730.0
2023-01-01 05:15:00,0.0,,,924.0,1272.0,,,,,,,0.0,,,484.0,160.0,,1.0,69.0,1123.0,701.0
2023-01-01 05:30:00,0.0,,,918.0,1275.0,,,,,,,0.0,,,484.0,160.0,,1.0,71.0,1079.0,695.0
2023-01-01 05:45:00,0.0,,,903.0,1262.0,,,,,,,0.0,,,484.0,160.0,,1.0,69.0,1111.0,692.0
2023-01-01 06:00:00,0.0,,,900.0,1255.0,,,,,,,0.0,,,485.0,160.0,,1.0,69.0,1134.0,729.0
2023-01-01 06:15:00,0.0,,,895.0,1265.0,,,,,,,0.0,,,484.0,160.0,,1.0,69.0,1155.0,763.0
2023-01-01 06:30:00,0.0,,,893.0,1277.0,,,,,,,0.0,,,484.0,160.0,,1.0,69.0,1153.0,775.0
2023-01-01 06:45:00,0.0,,,894.0,1276.0,,,,,,,0.0,,,485.0,160.0,,1.0,69.0,1157.0,770.0
2023-01-01 07:00:00,0.0,,,907.0,1272.0,,,,,,,0.0,,,485.0,160.0,,1.0,69.0,1434.0,786.0
2023-01-01 07:15:00,0.0,,,908.0,1294.0,,,,,,,0.0,,,485.0,160.0,,1.0,70.0,1622.0,727.0
2023-01-01 07:30:00,0.0,,,907.0,1303.0,,,,,,,0.0,,,485.0,160.0,,1.0,70.0,1653.0,716.0
2023-01-01 07:45:00,0.0,,,908.0,1290.0,,,,,,,0.0,,,485.0,160.0,,1.0,70.0,1692.0,750.0
2023-01-01 08:00:00,0.0,,,926.0,1291.0,,,,,,,0.0,,,485.0,160.0,,1.0,70.0,1719.0,762.0
2023-01-01 08:15:00,0.0,,,934.0,1288.0,,,,,,,0.0,,,485.0,291.0,,1.0,70.0,1955.0,831.0
2023-01-01 08:30:00,0.0,,,951.0,1287.0,,,,,,,0.0,,,485.0,292.0,,1.0,70.0,1916.0,859.0
2023-01-01 08:45:00,0.0,,,963.0,1290.0,,,,,,,0.0,,,485.0,292.0,,1.0,68.0,1840.0,865.0
2023-01-01 09:00:00,0.0,,,955.0,1287.0,,,,,,,0.0,,,485.0,294.0,,1.0,68.0,1851.0,891.0
2023-01-01 09:15:00,0.0,,,984.0,1295.0,,,,,,,0.0,,,485.0,294.0,,1.0,67.0,2051.0,858.0
2023-01-01 09:30:00,0.0,,,990.0,1282.0,,,,,,,0.0,,,485.0,293.0,,1.0,66.0,2073.0,856.0
2023-01-01 09:45:00,0.0,,,993.0,1254.0,,,,,,,0.0,,,485.0,269.0,,3.0,68.0,2064.0,866.0
2023-01-01 10:00:00,0.0,,,997.0,1225.0,,,,,,,0.0,,,485.0,294.0,,7.0,69.0,1960.0,887.0
2023-01-01 10:15:00,0.0,,,1030.0,1210.0,,,,,,,0.0,,,485.0,298.0,,12.0,68.0,1780.0,838.0
2023-01-01 10:30:00,0.0,,,1015.0,1211.0,,,,,,,0.0,,,485.0,294.0,,16.0,68.0,1838.0,841.0
2023-01-01 10:45:00,0.0,,,1014.0,1214.0,,,,,,,0.0,,,485.0,295.0,,28.0,68.0,1812.0,836.0
2023-01-01 11:00:00,0.0,,,1027.0,1215.0,,,,,,,0.0,,,485.0,296.0,,32.0,70.0,1789.0,872.0
2023-01-01 11:15:00,0.0,,,1028.0,1214.0,,,,,,,0.0,,,485.0,297.0,,35.0,69.0,1849.0,823.0
2023-01-01 11:30:00,0.0,,,1013.0,1215.0,,,,,,,0.0,,,485.0,299.0,,39.0,70.0,1845.0,775.0
